n_estimators,max_depth,learning_rate,subsample,colsample_bytree,mean,min,acc,balacc,f1,stage
500,6,0.1,0.8,0.8,0.981523522455888,0.9580544139622177,0.9254087391633211,0.9254087391633211,0.9283838891682029,1
300,6,0.1,0.8,0.8,0.9803470002077536,0.9565912048850346,0.9235759585733403,0.9235759585733403,0.9265770423991727,1
500,6,0.05,0.8,0.8,0.9801201563943023,0.9565266744103236,0.9246523535230116,0.9246523535230116,0.9275565003356455,1
200,6,0.1,0.8,0.8,0.978591206499829,0.9535059624238611,0.9213358934078082,0.9213358934078082,0.9244186046511628,1
500,5,0.05,0.8,0.8,0.9789515234014274,0.9523210497371873,0.922441380112876,0.922441380112876,0.9254974290185558,1
500,5,0.1,0.8,0.8,0.9808063208418103,0.952302649481346,0.9253505556525281,0.9253505556525281,0.9282639083030473,1
300,6,0.05,0.8,0.8,0.9773540887894259,0.9522891704080757,0.9197940303717926,0.9197940303717926,0.9229005285382701,1
300,5,0.1,0.8,0.8,0.9791736939682474,0.9516174343201573,0.923168673997789,0.9231686739977891,0.9261898773091864,1
500,4,0.1,0.8,0.8,0.9799778848003822,0.9506401474923043,0.9233723162855647,0.9233723162855647,0.9263464012079862,1
300,5,0.05,0.8,0.8,0.9756669261595379,0.9497629328834111,0.9172630476522954,0.9172630476522954,0.9204386504783753,1
200,5,0.1,0.8,0.8,0.9769574107639061,0.94927697360885,0.9188049106883109,0.9188049106883109,0.9219497189518723,1
300,4,0.1,0.8,0.8,0.9772147756272458,0.9468357002282151,0.9196485715948101,0.9196485715948101,0.9226893578906119,1
500,4,0.05,0.8,0.8,0.9767184431589092,0.9465809473902995,0.9194158375516379,0.9194158375516379,0.9224480654011983,1
200,6,0.05,0.8,0.8,0.9740407925987754,0.9461228516686208,0.9143538721126433,0.9143538721126433,0.9177101967799642,1
200,4,0.1,0.8,0.8,0.9741224080404856,0.9451169608375174,0.9144702391342293,0.9144702391342293,0.917725415570605,1
500,3,0.1,0.8,0.8,0.9774892393810074,0.9445411105772444,0.9196485715948101,0.9196485715948101,0.9225896860986547,1
300,4,0.05,0.8,0.8,0.9719803998151286,0.9440284251765849,0.9117647058823529,0.9117647058823529,0.9150015413502228,1
100,6,0.1,0.8,0.8,0.9734046065832286,0.944009837284452,0.9127829173212312,0.9127829173212312,0.9162476254330093,1
300,3,0.1,0.8,0.8,0.9742753237469038,0.9437475671492717,0.9157502763716763,0.9157502763716763,0.9186790969336179,1
200,3,0.1,0.8,0.8,0.9703057589806152,0.9419607366524636,0.9084773375225461,0.9084773375225461,0.9116341778551766,1
200,5,0.05,0.8,0.8,0.9714410081433686,0.9416114272641483,0.9108919532204574,0.9108919532204574,0.9143048988613155,1
500,3,0.05,0.8,0.8,0.9719786280815563,0.941141468941664,0.9112701460406121,0.9112701460406121,0.9144795872588605,1
100,5,0.1,0.8,0.8,0.9699107448826865,0.9390503016957876,0.9100482923139582,0.9100482923139582,0.913403909707052,1
200,4,0.05,0.8,0.8,0.9666045845953044,0.9345700477565844,0.9034735555943446,0.9034735555943446,0.9068814548720251,1
300,3,0.05,0.8,0.8,0.9669354740169993,0.9333678400869342,0.9035317391051376,0.9035317391051376,0.9066756726331194,1
