holdout_gen,method,auc
DynamicCrafter,safe-bn/GB-100,0.9321052150909634
DynamicCrafter,safe-lat/LogReg,0.8367079496431274
DynamicCrafter,soft-bn/LogReg,0.9278954969513752
DynamicCrafter,safe-bn/LogReg,0.9054482074334125
DynamicCrafter,"GB+safeLR(0.3,0.7)",0.8924744864394634
DynamicCrafter,"GB+safeLR(0.4,0.6)",0.9056011417444109
DynamicCrafter,"GB+safeLR(0.5,0.5)",0.9155431102938103
DynamicCrafter,"GB+safeLR(0.6,0.4)",0.9227669346112946
DynamicCrafter,"GB+safeLR(0.7,0.3)",0.9275760066498564
DynamicCrafter,"GB+softLR(0.3,0.7)",0.9386135916499104
DynamicCrafter,"GB+softLR(0.4,0.6)",0.9402652202919684
DynamicCrafter,"GB+softLR(0.5,0.5)",0.9410171989183149
DynamicCrafter,"GB+softLR(0.6,0.4)",0.9409487809370787
DynamicCrafter,"GB+softLR(0.7,0.3)",0.9400621334336384
DynamicCrafter,"GB+safeBnLR(0.3,0.7)",0.9230789949058016
DynamicCrafter,"GB+safeBnLR(0.4,0.6)",0.9270444515648679
DynamicCrafter,"GB+safeBnLR(0.5,0.5)",0.930007476444556
DynamicCrafter,"GB+safeBnLR(0.6,0.4)",0.9320705417249071
DynamicCrafter,"GB+safeBnLR(0.7,0.3)",0.9333463358456044
DynamicCrafter,"3way(0.40,0.30,0.30)",0.9297947924938355
DynamicCrafter,"3way(0.50,0.25,0.25)",0.9327606036261531
DynamicCrafter,"3way(0.30,0.40,0.30)",0.9221973007403692
DynamicCrafter,"3way(0.30,0.30,0.40)",0.928107252151219
DynamicCrafter,"3way(0.50,0.30,0.20)",0.9301412165707732
DynamicCrafter,"3way(0.40,0.40,0.20)",0.9235706137031
DynamicCrafter,"3way(0.60,0.20,0.20)",0.934571667835345
DynamicCrafter,"3way(0.50,0.20,0.30)",0.9350440924478624
Pika,safe-bn/GB-100,0.7304813455096378
Pika,safe-lat/LogReg,0.6883105507066993
Pika,soft-bn/LogReg,0.765072789857157
Pika,safe-bn/LogReg,0.7129741499729698
Pika,"GB+safeLR(0.3,0.7)",0.7108666727828081
Pika,"GB+safeLR(0.4,0.6)",0.7170672998427945
Pika,"GB+safeLR(0.5,0.5)",0.7224028557197065
Pika,"GB+safeLR(0.6,0.4)",0.7263337723478882
Pika,"GB+safeLR(0.7,0.3)",0.7290228012860483
Pika,"GB+softLR(0.3,0.7)",0.7644902014750268
Pika,"GB+softLR(0.4,0.6)",0.762544957526508
Pika,"GB+softLR(0.5,0.5)",0.7596418636401097
Pika,"GB+softLR(0.6,0.4)",0.7558094272544589
Pika,"GB+softLR(0.7,0.3)",0.7509310270297167
Pika,"GB+safeBnLR(0.3,0.7)",0.7252535995824438
Pika,"GB+safeBnLR(0.4,0.6)",0.7278907968140087
Pika,"GB+safeBnLR(0.5,0.5)",0.7299459239805093
Pika,"GB+safeBnLR(0.6,0.4)",0.7313147993516891
Pika,"GB+safeBnLR(0.7,0.3)",0.7322897537527451
Pika,"3way(0.40,0.30,0.30)",0.7458738074172209
Pika,"3way(0.50,0.25,0.25)",0.745307805181201
Pika,"3way(0.30,0.40,0.30)",0.7417941337911109
Pika,"3way(0.30,0.30,0.40)",0.7494232426848616
Pika,"3way(0.50,0.30,0.20)",0.7414147256988339
Pika,"3way(0.40,0.40,0.20)",0.7376838794581099
Pika,"3way(0.60,0.20,0.20)",0.7438674020549199
Pika,"3way(0.50,0.20,0.30)",0.7489344696916687
SVD,safe-bn/GB-100,0.8761458236292191
SVD,safe-lat/LogReg,0.7967543842233629
SVD,soft-bn/LogReg,0.8709689045817673
SVD,safe-bn/LogReg,0.856623563854726
SVD,"GB+safeLR(0.3,0.7)",0.8394580866261142
SVD,"GB+safeLR(0.4,0.6)",0.8499322684642886
SVD,"GB+safeLR(0.5,0.5)",0.8583703807779886
