holdout_gen,method,auc
DynamicCrafter,safe(g<=0.60)/bn-GB,0.9243164006569364
DynamicCrafter,safe(g<=0.60)/bn-LR,0.8849689410227715
DynamicCrafter,safe(g<=0.60)/lat-LR,0.7889336237227741
DynamicCrafter,safe(g<=0.60)/mix(0.4),0.9125156920200177
DynamicCrafter,safe(g<=0.60)/mix(0.5),0.9169371653594498
DynamicCrafter,safe(g<=0.60)/mix(0.6),0.9203747819370338
DynamicCrafter,"safe(g<=0.60)/3w(0.5,0.25,0.25)",0.9103102182719351
DynamicCrafter,"safe(g<=0.60)/3w(0.5,0.3,0.2)",0.9079403556187107
DynamicCrafter,"safe(g<=0.60)/3w(0.4,0.3,0.3)",0.9032801933040158
DynamicCrafter,safe(g<=0.65)/bn-GB,0.9278537031619325
DynamicCrafter,safe(g<=0.65)/bn-LR,0.8967312612901278
DynamicCrafter,safe(g<=0.65)/lat-LR,0.8005786117960648
DynamicCrafter,safe(g<=0.65)/mix(0.4),0.9204459861708996
DynamicCrafter,safe(g<=0.65)/mix(0.5),0.9239449003063331
DynamicCrafter,safe(g<=0.65)/mix(0.6),0.9266822387230296
DynamicCrafter,"safe(g<=0.65)/3w(0.5,0.25,0.25)",0.9166836163701629
DynamicCrafter,"safe(g<=0.65)/3w(0.5,0.3,0.2)",0.9142862007742687
DynamicCrafter,"safe(g<=0.65)/3w(0.4,0.3,0.3)",0.9105219734717791
DynamicCrafter,safe(g<=0.70)/bn-GB,0.9321052150909634
DynamicCrafter,safe(g<=0.70)/bn-LR,0.9054482074334125
DynamicCrafter,safe(g<=0.70)/lat-LR,0.8367079496431274
DynamicCrafter,safe(g<=0.70)/mix(0.4),0.9270444515648679
DynamicCrafter,safe(g<=0.70)/mix(0.5),0.930007476444556
DynamicCrafter,safe(g<=0.70)/mix(0.6),0.9320705417249071
DynamicCrafter,"safe(g<=0.70)/3w(0.5,0.25,0.25)",0.9263200258811912
DynamicCrafter,"safe(g<=0.70)/3w(0.5,0.3,0.2)",0.9248148302939962
DynamicCrafter,"safe(g<=0.70)/3w(0.4,0.3,0.3)",0.9218162032973751
DynamicCrafter,safe(g<=0.75)/bn-GB,0.930815180123493
DynamicCrafter,safe(g<=0.75)/bn-LR,0.9015418812468171
DynamicCrafter,safe(g<=0.75)/lat-LR,0.8150689829713526
DynamicCrafter,safe(g<=0.75)/mix(0.4),0.9250847872154346
DynamicCrafter,safe(g<=0.75)/mix(0.5),0.9285292146327797
DynamicCrafter,safe(g<=0.75)/mix(0.6),0.9310238394870818
DynamicCrafter,"safe(g<=0.75)/3w(0.5,0.25,0.25)",0.9224189626162294
DynamicCrafter,"safe(g<=0.75)/3w(0.5,0.3,0.2)",0.9202627126646017
DynamicCrafter,"safe(g<=0.75)/3w(0.4,0.3,0.3)",0.9167504864332715
DynamicCrafter,safe_max(g<=0.65)/bn-GB,0.9067075936219583
DynamicCrafter,safe_max(g<=0.65)/bn-LR,0.8541947807296577
DynamicCrafter,safe_max(g<=0.65)/lat-LR,0.681761345078936
DynamicCrafter,safe_max(g<=0.65)/mix(0.4),0.8912144810836665
DynamicCrafter,safe_max(g<=0.65)/mix(0.5),0.896910510209294
DynamicCrafter,safe_max(g<=0.65)/mix(0.6),0.9014372419813972
DynamicCrafter,"safe_max(g<=0.65)/3w(0.5,0.25,0.25)",0.8943267252708469
DynamicCrafter,"safe_max(g<=0.65)/3w(0.5,0.3,0.2)",0.892502658549384
DynamicCrafter,"safe_max(g<=0.65)/3w(0.4,0.3,0.3)",0.8869933083499347
DynamicCrafter,safe_max(g<=0.70)/bn-GB,0.9243164006569364
DynamicCrafter,safe_max(g<=0.70)/bn-LR,0.8849689410227715
DynamicCrafter,safe_max(g<=0.70)/lat-LR,0.7889336237227741
DynamicCrafter,safe_max(g<=0.70)/mix(0.4),0.9125156920200177
DynamicCrafter,safe_max(g<=0.70)/mix(0.5),0.9169371653594498
DynamicCrafter,safe_max(g<=0.70)/mix(0.6),0.9203747819370338
DynamicCrafter,"safe_max(g<=0.70)/3w(0.5,0.25,0.25)",0.9103102182719351
DynamicCrafter,"safe_max(g<=0.70)/3w(0.5,0.3,0.2)",0.9079403556187107
DynamicCrafter,"safe_max(g<=0.70)/3w(0.4,0.3,0.3)",0.9032801933040158
DynamicCrafter,safe_max(g<=0.75)/bn-GB,0.9279490549185873
DynamicCrafter,safe_max(g<=0.75)/bn-LR,0.8993469333420018
DynamicCrafter,safe_max(g<=0.75)/lat-LR,0.8085494614018877
DynamicCrafter,safe_max(g<=0.75)/mix(0.4),0.9212964123901558
DynamicCrafter,safe_max(g<=0.75)/mix(0.5),0.9246427017982165
DynamicCrafter,safe_max(g<=0.75)/mix(0.6),0.9270354736397284
DynamicCrafter,"safe_max(g<=0.75)/3w(0.5,0.25,0.25)",0.917914830448788
DynamicCrafter,"safe_max(g<=0.75)/3w(0.5,0.3,0.2)",0.915664776658633
DynamicCrafter,"safe_max(g<=0.75)/3w(0.4,0.3,0.3)",0.9122680251196155
DynamicCrafter,safe_max(g<=0.80)/bn-GB,0.9344970581815987
DynamicCrafter,safe_max(g<=0.80)/bn-LR,0.9117974580088509
DynamicCrafter,safe_max(g<=0.80)/lat-LR,0.847574644481904
DynamicCrafter,safe_max(g<=0.80)/mix(0.4),0.9312349755196748
DynamicCrafter,safe_max(g<=0.80)/mix(0.5),0.9339546676697177
DynamicCrafter,safe_max(g<=0.80)/mix(0.6),0.9357966902414596
DynamicCrafter,"safe_max(g<=0.80)/3w(0.5,0.25,0.25)",0.9298372054505293
DynamicCrafter,"safe_max(g<=0.80)/3w(0.5,0.3,0.2)",0.9283069335896685
DynamicCrafter,"safe_max(g<=0.80)/3w(0.4,0.3,0.3)",0.9255637130840876
DynamicCrafter,soft(l=0.2)/bn-GB,0.9623564886406029
DynamicCrafter,soft(l=0.2)/bn-LR,0.9278713494285861
DynamicCrafter,soft(l=0.2)/lat-LR,0.8810248456338647
DynamicCrafter,soft(l=0.2)/mix(0.4),0.953356892647234
DynamicCrafter,soft(l=0.2)/mix(0.5),0.9570935670070537
DynamicCrafter,soft(l=0.2)/mix(0.6),0.9598401929325154
DynamicCrafter,"soft(l=0.2)/3w(0.5,0.25,0.25)",0.9556896052653983
DynamicCrafter,"soft(l=0.2)/3w(0.5,0.3,0.2)",0.9547856210789298
DynamicCrafter,"soft(l=0.2)/3w(0.4,0.3,0.3)",0.9509953887518982
DynamicCrafter,soft(l=0.3)/bn-GB,0.9591386764371258
DynamicCrafter,soft(l=0.3)/bn-LR,0.9278954969513752
DynamicCrafter,soft(l=0.3)/lat-LR,0.883218555204178
DynamicCrafter,soft(l=0.3)/mix(0.4),0.9523950163227967
DynamicCrafter,soft(l=0.3)/mix(0.5),0.955763905335519
DynamicCrafter,soft(l=0.3)/mix(0.6),0.9581272667326081
DynamicCrafter,"soft(l=0.3)/3w(0.5,0.25,0.25)",0.9544918262183277
DynamicCrafter,"soft(l=0.3)/3w(0.5,0.3,0.2)",0.9536209674797882
DynamicCrafter,"soft(l=0.3)/3w(0.4,0.3,0.3)",0.9503056364342778
DynamicCrafter,soft(l=0.4)/bn-GB,0.963996043521266
DynamicCrafter,soft(l=0.4)/bn-LR,0.9278954969513752
DynamicCrafter,soft(l=0.4)/lat-LR,0.883218555204178
DynamicCrafter,soft(l=0.4)/mix(0.4),0.9541611909062906
DynamicCrafter,soft(l=0.4)/mix(0.5),0.9580477037408538
DynamicCrafter,soft(l=0.4)/mix(0.6),0.9609324039632896
DynamicCrafter,"soft(l=0.4)/3w(0.5,0.25,0.25)",0.9570790165766552
DynamicCrafter,"soft(l=0.4)/3w(0.5,0.3,0.2)",0.9563022712602686
DynamicCrafter,"soft(l=0.4)/3w(0.4,0.3,0.3)",0.9524306184397295
DynamicCrafter,soft(l=0.5)/bn-GB,0.9319429932711998
DynamicCrafter,soft(l=0.5)/bn-LR,0.9069704301200101
DynamicCrafter,soft(l=0.5)/lat-LR,0.8308233840895687
DynamicCrafter,soft(l=0.5)/mix(0.4),0.9283032185861624
DynamicCrafter,soft(l=0.5)/mix(0.5),0.9311956583992359
DynamicCrafter,soft(l=0.5)/mix(0.6),0.9332565565942086
DynamicCrafter,"soft(l=0.5)/3w(0.5,0.25,0.25)",0.9261352044567659
DynamicCrafter,"soft(l=0.5)/3w(0.5,0.3,0.2)",0.9243089706499245
DynamicCrafter,"soft(l=0.5)/3w(0.4,0.3,0.3)",0.921366068705894
DynamicCrafter,soft_max(l=0.2)/bn-GB,0.9591386764371258
DynamicCrafter,soft_max(l=0.2)/bn-LR,0.9278954969513752
DynamicCrafter,soft_max(l=0.2)/lat-LR,0.883218555204178
DynamicCrafter,soft_max(l=0.2)/mix(0.4),0.9523950163227967
DynamicCrafter,soft_max(l=0.2)/mix(0.5),0.955763905335519
DynamicCrafter,soft_max(l=0.2)/mix(0.6),0.9581272667326081
DynamicCrafter,"soft_max(l=0.2)/3w(0.5,0.25,0.25)",0.9544918262183277
DynamicCrafter,"soft_max(l=0.2)/3w(0.5,0.3,0.2)",0.9536209674797882
DynamicCrafter,"soft_max(l=0.2)/3w(0.4,0.3,0.3)",0.9503056364342778
DynamicCrafter,soft_max(l=0.3)/bn-GB,0.9319231799191677
DynamicCrafter,soft_max(l=0.3)/bn-LR,0.9069704301200101
DynamicCrafter,soft_max(l=0.3)/lat-LR,0.8308233840895687
DynamicCrafter,soft_max(l=0.3)/mix(0.4),0.9282933119101464
DynamicCrafter,soft_max(l=0.3)/mix(0.5),0.9311814175524628
DynamicCrafter,soft_max(l=0.3)/mix(0.6),0.933241386996559
DynamicCrafter,"soft_max(l=0.3)/3w(0.5,0.25,0.25)",0.9261228211117457
DynamicCrafter,"soft_max(l=0.3)/3w(0.5,0.3,0.2)",0.9242972064721552
DynamicCrafter,"soft_max(l=0.3)/3w(0.4,0.3,0.3)",0.9213546141117503
DynamicCrafter,soft_max(l=0.4)/bn-GB,0.9289759438043803
DynamicCrafter,soft_max(l=0.4)/bn-LR,0.9013477723136267
DynamicCrafter,soft_max(l=0.4)/lat-LR,0.8074396041044598
DynamicCrafter,soft_max(l=0.4)/mix(0.4),0.9228845763889856
DynamicCrafter,soft_max(l=0.4)/mix(0.5),0.9260937202509485
DynamicCrafter,soft_max(l=0.4)/mix(0.6),0.9283964032574389
DynamicCrafter,"soft_max(l=0.4)/3w(0.5,0.25,0.25)",0.9182563011877176
DynamicCrafter,"soft_max(l=0.4)/3w(0.5,0.3,0.2)",0.9157455779848892
DynamicCrafter,"soft_max(l=0.4)/3w(0.4,0.3,0.3)",0.9126159971146806
DynamicCrafter,soft_max(l=0.5)/bn-GB,0.9265915307207571
DynamicCrafter,soft_max(l=0.5)/bn-LR,0.9008778243701133
DynamicCrafter,soft_max(l=0.5)/lat-LR,0.8091358127885899
DynamicCrafter,soft_max(l=0.5)/mix(0.4),0.9218877171148664
DynamicCrafter,soft_max(l=0.5)/mix(0.5),0.9248296903080201
DynamicCrafter,soft_max(l=0.5)/mix(0.6),0.926961483153233
DynamicCrafter,"soft_max(l=0.5)/3w(0.5,0.25,0.25)",0.9163384306277272
DynamicCrafter,"soft_max(l=0.5)/3w(0.5,0.3,0.2)",0.9136766306156535
