method,DC,Pika,SVD,ZS,mean,min,sharpe
safe(g<=0.60)/bn-GB,0.9243164006569364,0.7666961589077192,0.8964768910996027,0.8103182045035531,0.849451913791953,0.7666961589077192,0.8176360352351393
safe(g<=0.60)/bn-LR,0.8849689410227715,0.7514835530220216,0.8756913274617397,0.7901909128275432,0.8255836835835191,0.7514835530220216,0.7973205645642378
safe(g<=0.60)/lat-LR,0.7889336237227741,0.7110641515849359,0.8205405999777027,0.7935231750423066,0.7785153875819297,0.7110641515849359,0.758129177409404
safe(g<=0.60)/mix(0.4),0.9125156920200177,0.7671216972188661,0.8957420001191221,0.8083733219885282,0.8459381778366336,0.7671216972188661,0.8157966967426286
safe(g<=0.60)/mix(0.5),0.9169371653594498,0.7691395055566181,0.8983495497036459,0.8110209460596483,0.8488617916698404,0.7691395055566181,0.8183752503792507
safe(g<=0.60)/mix(0.6),0.9203747819370338,0.7703845031490353,0.8999445624634425,0.8128308758636664,0.8508836808532945,0.7703845031490353,0.8200980137206457
"safe(g<=0.60)/3w(0.5,0.25,0.25)",0.9103102182719351,0.7662918715962765,0.8994714343966242,0.8235793655659107,0.8499132224576866,0.7662918715962765,0.8205557108415616
"safe(g<=0.60)/3w(0.5,0.3,0.2)",0.9079403556187107,0.7650349527113425,0.8988742972948621,0.8254049301352284,0.849313633940036,0.7650349527113425,0.820193329517871
"safe(g<=0.60)/3w(0.4,0.3,0.3)",0.9032801933040158,0.7635727802682912,0.8965227072455181,0.8232905338490611,0.8466665536667215,0.7635727802682912,0.8180071815927829
safe(g<=0.65)/bn-GB,0.9278537031619325,0.7880492670737528,0.8838624843652403,0.8329318353033823,0.858174322476077,0.7880492670737528,0.8318710380948313
safe(g<=0.65)/bn-LR,0.8967312612901278,0.7581480738560353,0.8732817036275697,0.8191814706636258,0.8368356273593396,0.7581480738560353,0.8101204587229955
safe(g<=0.65)/lat-LR,0.8005786117960648,0.7075846891211985,0.822936784409071,0.8300591529001873,0.7902898095566304,0.7075846891211985,0.7658033055764336
safe(g<=0.65)/mix(0.4),0.9204459861708996,0.7799205005284242,0.8883885086997225,0.8358209753542611,0.856143992688327,0.7799205005284242,0.829454222914529
safe(g<=0.65)/mix(0.5),0.9239449003063331,0.7834445382598335,0.8898643994801394,0.8379510064057281,0.8588012111130086,0.7834445382598335,0.8322000115476174
safe(g<=0.65)/mix(0.6),0.9266822387230296,0.7862102781237544,0.8904526787936914,0.8390330967409332,0.8605945730953521,0.7862102781237544,0.8340698126993883
"safe(g<=0.65)/3w(0.5,0.25,0.25)",0.9166836163701629,0.7779182417026508,0.887346038659664,0.8520062489688254,0.8584885364253257,0.7779182417026508,0.8325643498332668
"safe(g<=0.65)/3w(0.5,0.3,0.2)",0.9142862007742687,0.7761886176535683,0.8860552451087446,0.8541811271102304,0.857677797661703,0.7761886176535683,0.831862947296666
"safe(g<=0.65)/3w(0.4,0.3,0.3)",0.9105219734717791,0.7728475458464403,0.8852641529892744,0.8524242732199924,0.8552644863818716,0.7728475458464403,0.8293391262420486
safe(g<=0.70)/bn-GB,0.9321052150909634,0.7304813455096378,0.8761458236292191,0.8023621661720458,0.8352736376004666,0.7304813455096378,0.7972674872566567
