combo,n_dim,holdout_gen,auc,acc_default,acc_youden,balacc_youden,f1_youden,threshold_youden
z0,43,DC,0.9463604449519942,0.8795143212951432,0.888854296388543,0.8818305226755931,0.8598351001177856,0.5896549224853516
z0,43,Pika,0.7086204068925451,0.5655737704918032,0.6564828614008942,0.6547284093720378,0.6294212218649518,0.918182909488678
z0,43,SVD,0.9154932963991121,0.8137739345274861,0.8375540457072267,0.8422369579343332,0.809971098265896,0.6208052635192871
z0,43,ZS,0.5379366537801432,0.48738612473721094,0.5487035739313244,0.5341514335741404,0.43109540636042404,0.9686257243156433
eps,16,DC,0.7051445812009192,0.6519302615193027,0.6790161892901619,0.6555487076613837,0.5730848861283644,0.5816373229026794
eps,16,Pika,0.32519909604142866,0.4008941877794337,0.5204918032786885,0.5032978365591757,0.024260803639120546,0.991091787815094
eps,16,SVD,0.6491752394994803,0.5843113032736257,0.5809141445336627,0.6048281426047767,0.5802660068048252,0.45019927620887756
eps,16,ZS,0.5415529705459148,0.5252277505255781,0.5322354590049054,0.5423536521034917,0.5583857095600397,0.525667130947113
physics,25,DC,0.8575182828703956,0.7817559153175592,0.7808219178082192,0.7819288100978241,0.7434402332361516,0.3964909315109253
physics,25,Pika,0.5957926454686714,0.5607302533532041,0.5704172876304023,0.5701379565310452,0.5580682253737064,0.6659002900123596
physics,25,SVD,0.839080989672858,0.7594193946880791,0.7569487337862878,0.7625824412751845,0.7223985890652558,0.41566506028175354
physics,25,ZS,0.6437801679623361,0.5746320953048353,0.6096706377014717,0.608328772280023,0.5799396681749623,0.6816781759262085
csv,15,DC,0.9663720058086255,0.9047322540473225,0.9044209215442092,0.9023883037967545,0.8826901031715705,0.42413249611854553
csv,15,Pika,0.9611331170726419,0.9053651266766021,0.910581222056632,0.9101839883697336,0.9065420560747663,0.4002811908721924
csv,15,SVD,0.9364029274477036,0.8360098826436072,0.8668931439159975,0.8601166050985918,0.8323609490470634,0.7899872660636902
csv,15,ZS,0.9340464261567533,0.8559915907498248,0.8584442887175894,0.8619301056760966,0.8522311631309437,0.508606493473053
z0+eps,59,DC,0.9548606957057661,0.8972602739726028,0.8991282689912827,0.8953234925065912,0.875,0.5161266326904297
z0+eps,59,Pika,0.6627534044380696,0.5230998509687034,0.6333830104321908,0.6310514772717797,0.5977105478331971,0.9411118626594543
z0+eps,59,SVD,0.9042308097377576,0.798332303891291,0.8319950586781965,0.8297501972231771,0.7957957957957958,0.6946216821670532
z0+eps,59,ZS,0.5948722203372621,0.49018920812894184,0.5851436580238262,0.5734559080293525,0.49444918872758326,0.958294689655304
z0+physics,68,DC,0.9626548077252304,0.8997509339975094,0.9006849315068494,0.9001353466142199,0.8793038214150587,0.466875821352005
z0+physics,68,Pika,0.6915249714385783,0.551043219076006,0.6512667660208644,0.648016544776804,0.6057287278854254,0.9455057382583618
z0+physics,68,SVD,0.9177258428931101,0.820568252007412,0.8347745521927116,0.8388908208259727,0.8062296269467584,0.5603508949279785
z0+physics,68,ZS,0.5803232445310701,0.4863349684653118,0.5886475122634899,0.5681634351294389,0.4333976833976834,0.9800635576248169
z0+csv,58,DC,0.9921535217309866,0.9564134495641345,0.9613947696139477,0.9572598755697347,0.9513343799058085,0.611556351184845
z0+csv,58,Pika,0.9359362447915366,0.7336065573770492,0.8863636363636364,0.8847216547000565,0.8767676767676768,0.9468739032745361
z0+csv,58,SVD,0.982455185131459,0.9218653489808524,0.932674490426189,0.933471108046507,0.9176114890400605,0.668697714805603
z0+csv,58,ZS,0.9524663121840801,0.8458304134548003,0.882270497547302,0.8812544423833713,0.8702702702702703,0.8770051598548889
eps+physics,41,DC,0.8843277885531408,0.8063511830635118,0.8075965130759651,0.8027311013226506,0.7651975683890577,0.4933832883834839
eps+physics,41,Pika,0.4353775250103544,0.45789865871833085,0.5204918032786885,0.504186228808259,0.07209805335255948,0.9911109209060669
eps+physics,41,SVD,0.8408461619475516,0.7652872143298333,0.7662137121680049,0.767212069064874,0.7254261878853827,0.5012670755386353
eps+physics,41,ZS,0.6392712881487737,0.5651716888577435,0.6054660126138752,0.6100376194025969,0.602681721947777,0.7227559089660645
eps+csv,31,DC,0.9914248252276421,0.9570361145703612,0.9620174346201743,0.9621661903352045,0.9533639143730887,0.30499735474586487
eps+csv,31,Pika,0.9138303993595571,0.727645305514158,0.8535767511177347,0.8520251507292544,0.8418511066398391,0.9325591325759888
eps+csv,31,SVD,0.9690527524804418,0.8983940704138357,0.9104385423100679,0.9096636376101122,0.8899848254931715,0.6878103613853455
eps+csv,31,ZS,0.9743291536748881,0.9145059565522075,0.9155571128241066,0.9159071377801333,0.908120472741136,0.5235182046890259
physics+csv,40,DC,0.9834865046132651,0.937733499377335,0.9420921544209215,0.9393349083489928,0.9279628195197521,0.35328438878059387
physics+csv,40,Pika,0.956641121219955,0.8845007451564829,0.8919523099850969,0.8909312274323073,0.8850118953211736,0.6564441323280334
physics+csv,40,SVD,0.9645177123303732,0.8915997529339098,0.8959234095120445,0.900273032388318,0.8763302752293578,0.5195242762565613
physics+csv,40,ZS,0.9431964356916248,0.8514365802382621,0.8700070077084793,0.870879263759315,0.8600528102602791,0.7149707078933716
z0+eps+physics,84,DC,0.9694459046571723,0.9115815691158157,0.9156288916562889,0.9105252133421148,0.8941819601718078,0.538114607334137
z0+eps+physics,84,Pika,0.6705540776815075,0.5190014903129657,0.639344262295082,0.6305661415812603,0.5040983606557377,0.9848528504371643
z0+eps+physics,84,SVD,0.9319549238231688,0.8378628783199505,0.8650401482396541,0.8623068256109945,0.8341555977229601,0.6572059392929077
z0+eps+physics,84,ZS,0.6025778825650538,0.4877365101611773,0.598458304134548,0.5866239372333022,0.5089974293059126,0.9680777788162231
z0+eps+csv,74,DC,0.9946485721133609,0.9651307596513076,0.9645080946450809,0.9655055457872359,0.95662100456621,0.33635959029197693
z0+eps+csv,74,Pika,0.9307932431042582,0.646795827123696,0.8722056631892697,0.8708337155421388,0.8626351621946335,0.9645998477935791
z0+eps+csv,74,SVD,0.9853965427820293,0.9360716491661519,0.9397776405188388,0.9415788187275578,0.9266089574708317,0.559535801410675
z0+eps+csv,74,ZS,0.9640485807900818,0.8679046951646812,0.8966362999299229,0.8978691419358513,0.8888888888888888,0.7951980829238892
z0+physics+csv,83,DC,0.9929535168971788,0.9654420921544209,0.9673100871731009,0.9647210590872564,0.9591280653950953,0.4522310793399811
z0+physics+csv,83,Pika,0.9423581866346444,0.7317436661698957,0.8897168405365127,0.8886668834832983,0.8825396825396825,0.9374983906745911
z0+physics+csv,83,SVD,0.9832424881318345,0.9258801729462631,0.9345274861025324,0.9346288130642222,0.9195140470766895,0.6608734130859375
z0+physics+csv,83,ZS,0.9420106443839605,0.8146461107217939,0.8661527680448493,0.8651937560212095,0.8528505392912172,0.8907583355903625
eps+physics+csv,56,DC,0.9950924767826176,0.9645080946450809,0.9682440846824408,0.9686354362410701,0.9610091743119266,0.2594393193721771
eps+physics+csv,56,Pika,0.9178520699039058,0.706408345752608,0.8617734724292101,0.8601796798341075,0.8504635227730754,0.9418850541114807
eps+physics+csv,56,SVD,0.9774788022343349,0.9187770228536133,0.9206300185299567,0.922791249451054,0.9039252336448598,0.5183408260345459
eps+physics+csv,56,ZS,0.9718025365235116,0.9099509460406447,0.9110021023125437,0.9129800560204666,0.9050112191473448,0.5462116599082947
z0+eps+physics+csv,99,DC,0.996060043947368,0.975093399750934,0.9754047322540473,0.9737574596729526,0.9693679720822024,0.38806280493736267
z0+eps+physics+csv,99,Pika,0.9270828990051452,0.6646795827123696,0.8692250372578242,0.8669871661232352,0.8556149732620321,0.9761491417884827
z0+eps+physics+csv,99,SVD,0.9872221239694221,0.9366893143915997,0.9447189623224213,0.94672629397282,0.9326307866014302,0.5844839811325073
z0+eps+physics+csv,99,ZS,0.9549726212971883,0.8265592151366503,0.8868255080588647,0.8862083654258126,0.8758169934640523,0.8832221627235413
