combo,n_dim,auc_DC,auc_Pika,auc_SVD,auc_ZS,auc_mean,auc_min,acc_youden_DC,acc_youden_Pika,acc_youden_SVD,acc_youden_ZS,acc_youden_mean,acc_youden_min,balacc_youden_DC,balacc_youden_Pika,balacc_youden_SVD,balacc_youden_ZS,balacc_youden_mean,balacc_youden_min,f1_youden_DC,f1_youden_Pika,f1_youden_SVD,f1_youden_ZS,f1_youden_mean,f1_youden_min
csv,15,0.9663720058086255,0.9611331170726419,0.9364029274477036,0.9340464261567533,0.9494886191214311,0.9340464261567533,0.9044209215442092,0.910581222056632,0.8668931439159975,0.8584442887175894,0.885084894058607,0.8584442887175894,0.9023883037967545,0.9101839883697336,0.8601166050985918,0.8619301056760966,0.8836547507352941,0.8601166050985918,0.8826901031715705,0.9065420560747663,0.8323609490470634,0.8522311631309437,0.8684560678560859,0.8323609490470634
eps,16,0.7051445812009192,0.32519909604142866,0.6491752394994803,0.5415529705459148,0.5552679718219358,0.32519909604142866,0.6790161892901619,0.5204918032786885,0.5809141445336627,0.5322354590049054,0.5781643990268546,0.5204918032786885,0.6555487076613837,0.5032978365591757,0.6048281426047767,0.5423536521034917,0.5765070847322069,0.5032978365591757,0.5730848861283644,0.024260803639120546,0.5802660068048252,0.5583857095600397,0.4339993515330875,0.024260803639120546
eps+csv,31,0.9914248252276421,0.9138303993595571,0.9690527524804418,0.9743291536748881,0.9621592826856322,0.9138303993595571,0.9620174346201743,0.8535767511177347,0.9104385423100679,0.9155571128241066,0.9103974602180209,0.8535767511177347,0.9621661903352045,0.8520251507292544,0.9096636376101122,0.9159071377801333,0.9099405291136761,0.8520251507292544,0.9533639143730887,0.8418511066398391,0.8899848254931715,0.908120472741136,0.8983300798118088,0.8418511066398391
eps+physics,41,0.8843277885531408,0.4353775250103544,0.8408461619475516,0.6392712881487737,0.699955690914955,0.4353775250103544,0.8075965130759651,0.5204918032786885,0.7662137121680049,0.6054660126138752,0.6749420102841335,0.5204918032786885,0.8027311013226506,0.504186228808259,0.767212069064874,0.6100376194025969,0.6710417546495951,0.504186228808259,0.7651975683890577,0.07209805335255948,0.7254261878853827,0.602681721947777,0.5413508828936943,0.07209805335255948
eps+physics+csv,56,0.9950924767826176,0.9178520699039058,0.9774788022343349,0.9718025365235116,0.9655564713610925,0.9178520699039058,0.9682440846824408,0.8617734724292101,0.9206300185299567,0.9110021023125437,0.9154124194885378,0.8617734724292101,0.9686354362410701,0.8601796798341075,0.922791249451054,0.9129800560204666,0.9161466053866745,0.8601796798341075,0.9610091743119266,0.8504635227730754,0.9039252336448598,0.9050112191473448,0.9051022874693015,0.8504635227730754
physics,25,0.8575182828703956,0.5957926454686714,0.839080989672858,0.6437801679623361,0.7340430214935653,0.5957926454686714,0.7808219178082192,0.5704172876304023,0.7569487337862878,0.6096706377014717,0.6794646442315952,0.5704172876304023,0.7819288100978241,0.5701379565310452,0.7625824412751845,0.608328772280023,0.6807444950460193,0.5701379565310452,0.7434402332361516,0.5580682253737064,0.7223985890652558,0.5799396681749623,0.6509616789625191,0.5580682253737064
physics+csv,40,0.9834865046132651,0.956641121219955,0.9645177123303732,0.9431964356916248,0.9619604434638046,0.9431964356916248,0.9420921544209215,0.8919523099850969,0.8959234095120445,0.8700070077084793,0.8999937204066356,0.8700070077084793,0.9393349083489928,0.8909312274323073,0.900273032388318,0.870879263759315,0.9003546079822333,0.870879263759315,0.9279628195197521,0.8850118953211736,0.8763302752293578,0.8600528102602791,0.8873394500826406,0.8600528102602791
z0,43,0.9463604449519942,0.7086204068925451,0.9154932963991121,0.5379366537801432,0.7771027005059487,0.5379366537801432,0.888854296388543,0.6564828614008942,0.8375540457072267,0.5487035739313244,0.7328986943569971,0.5487035739313244,0.8818305226755931,0.6547284093720378,0.8422369579343332,0.5341514335741404,0.7282368308890261,0.5341514335741404,0.8598351001177856,0.6294212218649518,0.809971098265896,0.43109540636042404,0.6825807066522643,0.43109540636042404
z0+csv,58,0.9921535217309866,0.9359362447915366,0.982455185131459,0.9524663121840801,0.9657528159595156,0.9359362447915366,0.9613947696139477,0.8863636363636364,0.932674490426189,0.882270497547302,0.9156758484877687,0.882270497547302,0.9572598755697347,0.8847216547000565,0.933471108046507,0.8812544423833713,0.9141767701749173,0.8812544423833713,0.9513343799058085,0.8767676767676768,0.9176114890400605,0.8702702702702703,0.903995953995954,0.8702702702702703
z0+eps,59,0.9548606957057661,0.6627534044380696,0.9042308097377576,0.5948722203372621,0.7791792825547139,0.5948722203372621,0.8991282689912827,0.6333830104321908,0.8319950586781965,0.5851436580238262,0.7374124990313741,0.5851436580238262,0.8953234925065912,0.6310514772717797,0.8297501972231771,0.5734559080293525,0.7323952687577252,0.5734559080293525,0.875,0.5977105478331971,0.7957957957957958,0.49444918872758326,0.6907388830891441,0.49444918872758326
