threshold,accuracy,balanced_accuracy,f1,auc,tp,tn,fp,fn,model,threshold_strategy,holdout_gen
0.5,0.9417808219178082,0.9329355512454104,0.924748490945674,0.9846832748241199,1149,1876,41,146,bn-GB,default,DC
0.31289519964148566,0.9514321295143213,0.9495398819342481,0.9397683397683397,0.9846832748241199,1217,1839,78,78,bn-GB,youden,DC
0.5,0.9458281444582815,0.9392076180808575,0.9308975377283558,0.9837197358324118,1172,1866,51,123,bn-GB+SMOTE,default,DC
0.3843043061798514,0.9452054794520548,0.9440728454812962,0.9324635456638527,0.9837197358324118,1215,1821,96,80,bn-GB+SMOTE,youden,DC
0.5,0.9455168119551681,0.9407006604189703,0.9312917157440126,0.9857845773338733,1186,1851,66,109,bn-GB-balanced,default,DC
0.4403930245237441,0.9480074719800747,0.9455433300503723,0.9353464963221061,0.9857845773338733,1208,1837,80,87,bn-GB-balanced,youden,DC
0.5,0.926214196762142,0.9190174077498021,0.9059896866322887,0.9754233106345783,1142,1833,84,153,bn-LR-balanced,default,DC
0.4381301667165734,0.9283935242839353,0.9254783959009312,0.91112828438949,0.9754233106345783,1179,1803,114,116,bn-LR-balanced,youden,DC
0.5,0.9259028642590287,0.9149982980968896,0.9033306255077173,0.9766390132587316,1112,1862,55,183,RF-balanced,default,DC
0.36680274535691626,0.927148194271482,0.9269406227152706,0.9110942249240122,0.9766390132587316,1199,1779,138,96,RF-balanced,youden,DC
0.5,0.9623287671232876,0.9576665196383507,0.9523434423001181,0.9920516089530175,1209,1882,35,86,XGBoost,default,DC
0.3783131241798401,0.962640099626401,0.9614350769280346,0.9537393986121819,0.9920516089530175,1237,1855,62,58,XGBoost,youden,DC
0.5,0.960772104607721,0.9556107415262345,0.9502369668246445,0.9918502003009046,1203,1883,34,92,XGBoost-tuned,default,DC
0.36128565669059753,0.9623287671232876,0.9611742527235485,0.9533718689788054,0.9918502003009046,1237,1854,63,58,XGBoost-tuned,youden,DC
