model,threshold_strategy,accuracy_DC,accuracy_Pika,accuracy_SVD,accuracy_ZS,accuracy_mean,accuracy_min,balanced_accuracy_DC,balanced_accuracy_Pika,balanced_accuracy_SVD,balanced_accuracy_ZS,balanced_accuracy_mean,balanced_accuracy_min,f1_DC,f1_Pika,f1_SVD,f1_ZS,f1_mean,f1_min,auc_DC,auc_Pika,auc_SVD,auc_ZS,auc_mean,auc_min,threshold_mean
RF-balanced,default,0.9259028642590287,0.8919523099850969,0.8795552810376775,0.8682550805886475,0.8914163839676126,0.8682550805886475,0.9149982980968896,0.8909050982485107,0.8780069827933956,0.8677718862452666,0.8879205663460157,0.8677718862452666,0.9033306255077173,0.8849206349206349,0.8524962178517398,0.8559386973180076,0.8741715438995248,0.8524962178517398,0.9766390132587316,0.9534305672534614,0.9505481512686865,0.9432875742048288,0.955976326496427,0.9432875742048288,0.5
RF-balanced,youden,0.927148194271482,0.8975409836065574,0.8897467572575664,0.8731604765241766,0.8968991029149456,0.8731604765241766,0.9269406227152706,0.895573049136764,0.8814771171436122,0.8744849311879459,0.8946189300458982,0.8744849311879459,0.9110942249240122,0.8877092690894243,0.8590604026845637,0.8641141141141141,0.8804945027030285,0.8590604026845637,0.9766390132587316,0.9534305672534614,0.9505481512686865,0.9432875742048288,0.955976326496427,0.9432875742048288,0.4833302915837469
Reject(m=0.05),coverage=0.96,,0.8838206627680312,,,0.8838206627680312,0.8838206627680312,,0.884081778119439,,,0.884081778119439,0.884081778119439,,0.88359375,,,0.88359375,0.88359375,,0.9561783033521586,,,0.9561783033521586,0.9561783033521586,0.5
Reject(m=0.05),coverage=0.97,,,0.900855242318657,0.8975188781014024,0.8991870602100297,0.8975188781014024,,,0.9013664314511911,0.8971680206910218,0.8992672260711064,0.8971680206910218,,,0.8791039011201236,0.888015717092338,0.8835598091062308,0.8791039011201236,,,0.964620172063566,0.9615729973823354,0.9630965847229507,0.9615729973823354,0.5
Reject(m=0.05),coverage=0.98,0.9496835443037974,,,,0.9496835443037974,0.9496835443037974,0.9407441591503825,,,,0.9407441591503825,0.9407441591503825,0.9342159702110053,,,,0.9342159702110053,0.9342159702110053,0.9855633860193979,,,,0.9855633860193979,0.9855633860193979,0.5
Reject(m=0.1),coverage=0.92,,0.9008533116619261,,,0.9008533116619261,0.9008533116619261,,0.9009271771623015,,,0.9009271771623015,0.9009271771623015,,0.901294498381877,,,0.901294498381877,0.901294498381877,,0.9613337137679006,,,0.9613337137679006,0.9613337137679006,0.5
Reject(m=0.1),coverage=0.95,,,0.9132702967068796,0.9070025935531678,0.9101364451300238,0.9070025935531678,,,0.9137901338475579,0.9068687298804499,0.9103294318640038,0.9068687298804499,,,0.8936,0.8977596741344196,0.8956798370672098,0.8936,,,0.9681392916626714,0.9652870878922861,0.9667131897774788,0.9652870878922861,0.5
Reject(m=0.1),coverage=0.97,0.9554982263785875,,,,0.9554982263785875,0.9554982263785875,0.946933974593549,,,,0.946933974593549,0.946933974593549,0.9413265306122449,,,,0.9413265306122449,0.9413265306122449,0.9864812588216844,,,,0.9864812588216844,0.9864812588216844,0.5
Reject(m=0.15),coverage=0.87,,0.9155290102389079,,,0.9155290102389079,0.9155290102389079,,0.9155098356120503,,,0.9155098356120503,0.9155098356120503,,0.9165964616680707,,,0.9165964616680707,0.9165964616680707,,0.966456995588171,,,0.966456995588171,0.966456995588171,0.5
Reject(m=0.15),coverage=0.91,,,,0.9167306216423637,0.9167306216423637,0.9167306216423637,,,,0.9168708089864253,0.9168708089864253,0.9168708089864253,,,,0.9086315789473685,0.9086315789473685,0.9086315789473685,,,,0.9692308607282513,0.9692308607282513,0.9692308607282513,0.5
