config,method,DynamicCrafter_auc,DynamicCrafter_bacc,DynamicCrafter_FPR,DynamicCrafter_FNR,SVD_auc,SVD_bacc,SVD_FPR,SVD_FNR,ZeroScope_auc,ZeroScope_bacc,ZeroScope_FPR,ZeroScope_FNR,mean_auc,mean_bacc
baseline,default-0.5,0.9304114830758371,0.8568488411510938,0.15336463223787167,0.13293768545994064,0.9127373467259019,0.8346570126956541,0.1930005146680391,0.13768545994065282,0.8064761666517861,0.6799230275817832,0.5285439384220654,0.11161000641436819,0.8832083321511751,0.7904762938095103
baseline,optimal-thresh,0.9304114830758371,0.8456655970552405,0.21074595722483047,0.09792284866468842,0.9127373467259019,0.829477191958961,0.24549665465774576,0.09554896142433235,0.8064761666517861,0.6565105837075048,0.6016677357280308,0.08531109685695959,0.8832083321511751,0.7772177909072354
baseline,platt-0.5,0.9304114830758371,0.8559397488348046,0.16171100678142933,0.12640949554896141,0.9127373467259019,0.8345572862180451,0.19557385486361298,0.13531157270029673,0.8064761666517861,0.6779987171263631,0.5381654906991661,0.10583707504810776,0.8832083321511751,0.7894985840597375
baseline,platt-optimal,0.9304114830758371,0.8456655970552405,0.21074595722483047,0.09792284866468842,0.9127373467259019,0.829477191958961,0.24549665465774576,0.09554896142433235,0.8064761666517861,0.658434894162925,0.5971776779987171,0.08595253367543297,0.8832083321511751,0.7778592277257088
baseline,isotonic-0.5,0.9295434105899272,0.8451798603468266,0.21231090245174752,0.0973293768545994,0.9106780636874973,0.8302491940176331,0.24395265054040144,0.09554896142433235,0.8005795972073018,0.6587556125721616,0.5952533675432969,0.08723540731237973,0.8802670238282421,0.7780615556455404
safe,default-0.5,0.9084202102382402,0.8278746000566538,0.17214397496087636,0.17210682492581603,0.882918366318413,0.8115091685744,0.2007205352547607,0.17626112759643917,0.8624918277493221,0.7677998717126363,0.3098139833226427,0.15458627325208468,0.8846101347686585,0.8023945467812301
safe,optimal-thresh,0.9084202102382402,0.8248411449021639,0.20135628586332813,0.14896142433234422,0.882918366318413,0.8071037934241613,0.24395265054040144,0.14183976261127595,0.8624918277493221,0.7681205901218731,0.3033996151379089,0.1603592046183451,0.8846101347686585,0.800021842816066
safe,platt-0.5,0.9084202102382402,0.8263361242297171,0.17996870109546165,0.16735905044510385,0.882918366318413,0.8120607949712199,0.20792588780236748,0.1679525222551929,0.8624918277493221,0.7633098139833226,0.32135984605516354,0.15202052597819116,0.8846101347686585,0.8005689110614198
safe,platt-optimal,0.9084202102382402,0.8233045265769803,0.19196661450182578,0.16142433234421366,0.882918366318413,0.8076972652342502,0.24395265054040144,0.1406528189910979,0.8624918277493221,0.7684413085311097,0.30532392559332905,0.15779345734445158,0.8846101347686585,0.7998143667807801
safe,isotonic-0.5,0.907838657397733,0.8229718789713774,0.1914449660928534,0.1626112759643917,0.8807094172033517,0.8076972652342502,0.24395265054040144,0.1406528189910979,0.8614428584300803,0.7677998717126363,0.30468248877485565,0.1597177677998717,0.8833303110103884,0.7994896719727547
