holdout_gen,method,auc,acc,bacc,f1,TP,TN,FP,FN
DynamicCrafter,soft-branchnorm,0.913524315471906,0.8331482509716824,0.8325429663374245,0.821925925925926,1387,1614,303,298
DynamicCrafter,safe-latent-only,0.8258595202382556,0.7406996113270405,0.7418818659843444,0.732837528604119,1281,1387,530,404
DynamicCrafter,physics-only,0.8503014570553334,0.7709605774569683,0.7667205342175042,0.7411358644493253,1181,1596,321,504
DynamicCrafter,baseline-branchnorm,0.9304114830758371,0.8561910049972238,0.8568488411510938,0.8494186046511628,1461,1623,294,224
DynamicCrafter,top25-branchnorm,0.9275280211879032,0.8539700166574126,0.8535053379956627,0.8442865600947306,1426,1650,267,259
DynamicCrafter,ens-equal-3,0.9127441647356389,0.83564686285397,0.8344594437711,0.8228605625374028,1375,1635,282,310
DynamicCrafter,ens-equal-4,0.9237879414082029,0.8467518045530261,0.8462570565717638,0.8365896980461812,1413,1637,280,272
DynamicCrafter,ens-equal-5,0.9259720538861258,0.8467518045530261,0.8461134097695304,0.8362017804154303,1409,1641,276,276
DynamicCrafter,ens-w1,0.9133905753456888,0.83564686285397,0.8344953554716584,0.8229665071770335,1376,1634,283,309
DynamicCrafter,ens-w2,0.9141317185451427,0.83564686285397,0.8345671788727751,0.8231780167264038,1378,1632,285,307
DynamicCrafter,ens-w3,0.9190497640198815,0.8434203220433093,0.843055342716813,0.8334317779090372,1411,1627,290,274
DynamicCrafter,ens-w4,0.9192271554372946,0.8411993337034981,0.840250515069757,0.8294573643410853,1391,1639,278,294
DynamicCrafter,ens-w5,0.9211936306264888,0.8464741810105497,0.8455293802600193,0.8350730688935282,1400,1649,268,285
DynamicCrafter,ens-soft+top25,0.9227926300522112,0.8470294280955025,0.846410145674575,0.8365470186888164,1410,1641,276,275
DynamicCrafter,ens-soft+baseline,0.9274029494032003,0.8503609106052193,0.8502223584390174,0.8413305858110097,1429,1634,283,256
DynamicCrafter,meta-logreg-3,0.912939512003331,0.8303720155469184,0.830186106196471,0.8202412474257135,1394,1597,320,291
DynamicCrafter,meta-logreg-5,0.9317594101812767,0.8561910049972238,0.8570643113544438,0.8499420625724218,1467,1617,300,218
DynamicCrafter,meta-enriched-3,0.9139753788142637,0.8312048861743476,0.8314713426177462,0.822429906542056,1408,1586,331,277
SVD,soft-branchnorm,0.8790820277004417,0.7971334068357222,0.7993332223564465,0.7917374080362196,1399,1493,450,286
SVD,safe-latent-only,0.8066338724875571,0.7320837927232635,0.7361988787261889,0.7335526315789473,1338,1318,625,347
SVD,physics-only,0.8239077812615017,0.7549614112458655,0.751253300671512,0.7260400616332819,1178,1561,382,507
SVD,baseline-branchnorm,0.9127373467259019,0.8326901874310915,0.8346570126956541,0.8272132080842585,1453,1568,375,232
SVD,top25-branchnorm,0.8979029950014584,0.8178059536934951,0.8197759285023771,0.8120557293147569,1428,1539,404,257
SVD,ens-equal-3,0.8827109718979033,0.8001653803748622,0.8017698777167066,0.7930345418212961,1389,1514,429,296
SVD,ens-equal-4,0.8972948620246766,0.8142227122381478,0.8161941749352084,0.8084138715179079,1422,1532,411,263
SVD,ens-equal-5,0.8991766838579027,0.8158765159867696,0.8178957865945011,0.8102272727272727,1426,1534,409,259
SVD,ens-w1,0.883033212124174,0.8012679162072768,0.8029962232223717,0.7945283556568823,1394,1513,430,291
SVD,ens-w2,0.8832360249300921,0.7985115766262404,0.8002652754848494,0.7917972087724295,1390,1507,436,295
SVD,ens-w3,0.8914807931080297,0.8081587651598677,0.8101782095355617,0.8023850085178875,1413,1519,424,272
SVD,ens-w4,0.8891273704128493,0.8045755237045203,0.8065964559683929,0.7987510644337212,1407,1512,431,278
SVD,ens-w5,0.8916555053444534,0.8084343991179713,0.8104355435551192,0.8026128940641863,1413,1520,423,272
SVD,ens-soft+top25,0.8906878683427231,0.811742006615215,0.8138387668737048,0.8062411347517731,1421,1524,419,264
SVD,ens-soft+baseline,0.9005856830652834,0.8219404630650496,0.8240299576506092,0.8165814877910278,1438,1544,399,247
SVD,meta-logreg-3,0.8791003541588079,0.7943770672546858,0.7969962934737955,0.7902137232845894,1405,1477,466,280
SVD,meta-logreg-5,0.9072830872751764,0.8291069459757442,0.8313904742123823,0.8243626062322946,1455,1553,390,230
SVD,meta-enriched-3,0.8791189860581468,0.7952039691289967,0.7975318842195449,0.7901722677209828,1399,1486,457,286
ZeroScope,soft-branchnorm,0.8648259336320671,0.7700449005772931,0.7700449005772931,0.785007496251874,1309,1092,467,250
ZeroScope,safe-latent-only,0.874258634401997,0.7998717126363053,0.7998717126363053,0.7883310719131614,1162,1332,227,397
ZeroScope,physics-only,0.6930981974349933,0.6209108402822322,0.6209108402822322,0.6703848298940324,1202,734,825,357
ZeroScope,baseline-branchnorm,0.8064761666517861,0.6799230275817832,0.6799230275817832,0.7351380042462845,1385,735,824,174
ZeroScope,top25-branchnorm,0.8454984836334866,0.740218088518281,0.740218088518281,0.7665706051873199,1330,978,581,229
ZeroScope,ens-equal-3,0.8647629831296767,0.7745349583066068,0.7745349583066068,0.7867758568395511,1297,1118,441,262
ZeroScope,ens-equal-4,0.8547472701905507,0.7479153303399615,0.7479153303399615,0.7725694444444444,1335,997,562,224
ZeroScope,ens-equal-5,0.8541107706663825,0.7447081462475946,0.7447081462475946,0.7696759259259259,1330,992,567,229
ZeroScope,ens-w1,0.8652431350008496,0.7751763951250802,0.7751763951250802,0.7880254006652555,1303,1114,445,256
ZeroScope,ens-w2,0.8657422131668587,0.77228992944195,0.77228992944195,0.7856280193236715,1301,1107,452,258
ZeroScope,ens-w3,0.8642836541408883,0.7584990378447722,0.7584990378447722,0.7784642541924095,1323,1042,517,236
ZeroScope,ens-w4,0.8636899445006976,0.7636305323925593,0.7636305323925593,0.7807200238024398,1312,1069,490,247
ZeroScope,ens-w5,0.8618569739899222,0.757857601026299,0.757857601026299,0.7770888692057868,1316,1047,512,243
ZeroScope,ens-soft+top25,0.8592698317740397,0.7498396407953817,0.7498396407953817,0.7724620770128354,1324,1014,545,235
ZeroScope,ens-soft+baseline,0.8466624507659184,0.7248236048749198,0.7248236048749198,0.759394279304543,1354,906,653,205
ZeroScope,meta-logreg-3,0.865836433199848,0.7655548428479795,0.7655548428479795,0.7831504004746366,1320,1067,492,239
ZeroScope,meta-logreg-5,0.8275600590994128,0.6937139191789609,0.6937139191789609,0.7444474177147444,1391,772,787,168
ZeroScope,meta-enriched-3,0.8665482264621694,0.7677998717126363,0.7677998717126363,0.7838805970149254,1313,1081,478,246
