method,DynamicCrafter,SVD,ZeroScope,mean
ens-equal-5,0.9259720538861258,0.8991766838579027,0.8541107706663825,0.8930865028034704
ens-equal-4,0.9237879414082029,0.8972948620246766,0.8547472701905507,0.8919433578744768
ens-w3,0.9190497640198815,0.8914807931080297,0.8642836541408883,0.8916047370895998
ens-w5,0.9211936306264888,0.8916555053444534,0.8618569739899222,0.8915687033202881
ens-soft+baseline,0.9274029494032003,0.9005856830652834,0.8466624507659184,0.8915503610781341
ens-soft+top25,0.9227926300522112,0.8906878683427231,0.8592698317740397,0.8909167767229914
ens-w4,0.9192271554372946,0.8891273704128493,0.8636899445006976,0.8906814901169472
top25-branchnorm,0.9275280211879032,0.8979029950014584,0.8454984836334866,0.8903098332742827
meta-logreg-5,0.9317594101812767,0.9072830872751764,0.8275600590994128,0.8888675188519551
ens-w2,0.9141317185451427,0.8832360249300921,0.8657422131668587,0.8877033188806979
ens-w1,0.9133905753456888,0.883033212124174,0.8652431350008496,0.8872223074902376
ens-equal-3,0.9127441647356389,0.8827109718979033,0.8647629831296767,0.8867393732544063
meta-enriched-3,0.9139753788142637,0.8791189860581468,0.8665482264621694,0.8865475304448599
meta-logreg-3,0.912939512003331,0.8791003541588079,0.865836433199848,0.8859587664539955
soft-branchnorm,0.913524315471906,0.8790820277004417,0.8648259336320671,0.885810758934805
baseline-branchnorm,0.9304114830758371,0.9127373467259019,0.8064761666517861,0.8832083321511751
safe-latent-only,0.8258595202382556,0.8066338724875571,0.874258634401997,0.8355840090426033
physics-only,0.8503014570553334,0.8239077812615017,0.6930981974349933,0.7891024785839428
