variant,experiment,holdout_fake,holdout_real,auc,acc,bacc,f1,TP,TN,FP,FN
baseline,holdout-fake,DynamicCrafter,all,0.9343719863968956,0.8573014991671294,0.8587899304829969,0.8525530694205393,1486,1602,315,199
baseline,holdout-fake,SVD,all,0.9148186215143459,0.8357221609702316,0.8383151265060149,0.8318284424379232,1474,1558,385,211
baseline,holdout-fake,ZeroScope,all,0.7967838464896455,0.6779987171263631,0.6779987171263631,0.7352320675105485,1394,720,839,165
baseline,holdout-real,all,GenVideo-Real,0.9587085825226361,0.8974526453298498,0.8988364940689271,0.9134986225895316,2487,1635,171,300
baseline,holdout-real,all,Kinetics-400,0.8877884647765858,0.7207361963190184,0.7447092522989086,0.6803370786516854,1211,1726,80,1058
baseline,double-holdout,DynamicCrafter,GenVideo-Real,0.9188699152616131,0.8424744897959183,0.837587378916083,0.8666546697858557,2408,1555,362,379
baseline,double-holdout,SVD,GenVideo-Real,0.9379849942965475,0.8763213530655392,0.8666820494609466,0.8976736050376072,2566,1579,364,221
baseline,double-holdout,ZeroScope,GenVideo-Real,0.7684935532952981,0.7252646111366774,0.653521239568021,0.809021113243762,2529,623,936,258
baseline,double-holdout,DynamicCrafter,Kinetics-400,0.8673806053926353,0.730291447682752,0.7466801527379185,0.6892375447288742,1252,1805,112,1017
baseline,double-holdout,SVD,Kinetics-400,0.8287593506155034,0.7010921177587844,0.7137285487881031,0.6648922012243812,1249,1704,239,1020
baseline,double-holdout,ZeroScope,Kinetics-400,0.7019337242262687,0.6413270637408568,0.6476667276347321,0.669713735867212,1392,1063,496,877
filtered,holdout-fake,DynamicCrafter,all,0.9095489521368236,0.8256524153248196,0.8262548585280227,0.8176538908246226,1408,1566,351,277
filtered,holdout-fake,SVD,all,0.890027199518625,0.8114663726571113,0.8129116008008662,0.8041237113402062,1404,1540,403,281
filtered,holdout-fake,ZeroScope,all,0.8201890901430622,0.6959589480436177,0.6959589480436177,0.7399890290729567,1349,821,738,210
filtered,holdout-real,all,GenVideo-Real,0.942390532534974,0.8715436533855868,0.8751485599371549,0.8902121324897655,2392,1611,195,395
filtered,holdout-real,all,Kinetics-400,0.8405222882248925,0.6750920245398773,0.70259216255301,0.6121851200937317,1045,1706,100,1224
filtered,double-holdout,DynamicCrafter,GenVideo-Real,0.8864870975778256,0.8061224489795918,0.803001078672329,0.8336373586282378,2285,1507,410,502
filtered,double-holdout,SVD,GenVideo-Real,0.9189398761731229,0.8553911205073996,0.8461155489764718,0.8797891036906854,2503,1543,400,284
filtered,double-holdout,ZeroScope,GenVideo-Real,0.8194508407839661,0.7508053382420616,0.7004261055348839,0.8189266009028591,2449,814,745,338
filtered,double-holdout,DynamicCrafter,Kinetics-400,0.8235081119891083,0.6915910176779742,0.7105365161932862,0.6304036644718007,1101,1794,123,1168
filtered,double-holdout,SVD,Kinetics-400,0.7823489503743422,0.6597815764482431,0.6752377759535932,0.6009468114731272,1079,1700,243,1190
filtered,double-holdout,ZeroScope,Kinetics-400,0.674055958507038,0.6089341692789969,0.633488684110318,0.6030230708035004,1137,1194,365,1132
