feature,gen_mean_auc
latent_skewness,0.5683480998192157
ch0_mean,0.5597509734471823
ch1_mean,0.5484127208357017
ch2_mean,0.5503842404035081
ch3_mean,0.5705660907003755
ch2_variance,0.6398757529996562
ch3_variance,0.5492478117138785
ch2_energy,0.6219375409984614
ch3_energy,0.6158876156611494
spatial_entropy,0.6131044319212343
spatial_variance,0.6636769088512154
spatial_autocorrelation,0.600248695196207
gradient_magnitude_std,0.533716238444474
noise_residual_mean,0.574023524570966
noise_spatial_correlation,0.5579387883900152
patch_variance_std,0.5349474544341216
patch_entropy,0.686112567635182
latent_frame_distance_std,0.5998160841308562
latent_temporal_entropy,0.532480133119103
latent_jerk_mean,0.6277768231044824
latent_smoothness,0.5388847911720659
normalized_temporal_variance,0.5388847911720659
trajectory_curvature_consistency,0.5651825002518932
channel_correlation_mean,0.6913249436783383
mahalanobis_distance,0.5859157233635666
latent_density_score,0.6201375036229038
nearest_neighbor_distance,0.6152186375173497
object_latent_variance,0.645547775766822
object_latent_entropy,0.578431316808617
object_latent_temporal_variance,0.5585647035264588
object_latent_motion_consistency,0.5435696554781121
object_motion_smoothness,0.5488495503630851
inter_obj_corr_median,0.5315259024038901
inter_obj_corr_min,0.5182576744811531
inter_obj_pairs,0.589840387293477
orient_phase_noise_objmedian,0.5973527309989887
orient_phase_noise_objspread,0.5833322243711437
orient_R_median_objmedian,0.6177167688515531
orient_R_median_objspread,0.5307563840474004
edgeflow_align_median_objmedian,0.6328155887812469
edgeflow_align_median_objspread,0.5193751414457056
edgeflow_align_diff_std_objmedian,0.5265429410247872
edgeflow_align_diff_std_objspread,0.5611315708557516
inside_out_dI_diffz_std_objmedian,0.511881507263375
inside_out_dI_diffz_std_objspread,0.5696990145542329
inside_out_dG_diffz_std_objmedian,0.5412736638918769
inside_out_dG_diffz_std_objspread,0.568949462310342
hf_var_ratio_median_objmedian,0.5491661372764602
hf_var_ratio_median_objspread,0.5299593514025925
hf_var_ratio_std_objmedian,0.5713298903853289
hf_var_ratio_std_objspread,0.5324855984406749
psd_slope_diff_median_objmedian,0.6443961890457853
psd_slope_diff_median_objspread,0.5287837962020737
psd_slope_diff_std_objmedian,0.5535075285463642
psd_slope_diff_std_objspread,0.5545822243425137
valid_frac_objmedian,0.5143663299032343
valid_frac_objspread,0.5439106722509035
