holdout_gen,method,auc
DynamicCrafter,safe-bn/GB-100,0.9274905615692175
DynamicCrafter,safe-lat/LogReg,0.8258595202382556
DynamicCrafter,soft-bn/LogReg,0.913524315471906
DynamicCrafter,safe-bn/LogReg,0.9084202102382402
DynamicCrafter,"GB+safeLR(0.3,0.7)",0.8788478535793284
DynamicCrafter,"GB+safeLR(0.4,0.6)",0.892668285789028
DynamicCrafter,"GB+safeLR(0.5,0.5)",0.9039885206391665
DynamicCrafter,"GB+safeLR(0.6,0.4)",0.9128014377063568
DynamicCrafter,"GB+safeLR(0.7,0.3)",0.9191280886771337
DynamicCrafter,"GB+softLR(0.3,0.7)",0.9258785596312241
DynamicCrafter,"GB+softLR(0.4,0.6)",0.928522094209393
DynamicCrafter,"GB+softLR(0.5,0.5)",0.9303687605355176
DynamicCrafter,"GB+softLR(0.6,0.4)",0.9314495169721484
DynamicCrafter,"GB+softLR(0.7,0.3)",0.9316402204854579
DynamicCrafter,"GB+safeBnLR(0.3,0.7)",0.9222022540783772
DynamicCrafter,"GB+safeBnLR(0.4,0.6)",0.9253030436714141
DynamicCrafter,"GB+safeBnLR(0.5,0.5)",0.9276010829235221
DynamicCrafter,"GB+safeBnLR(0.6,0.4)",0.9290824405715533
DynamicCrafter,"GB+safeBnLR(0.7,0.3)",0.9298901442504904
DynamicCrafter,"3way(0.4,0.3,0.3)",0.9181405169117796
DynamicCrafter,"3way(0.5,0.2,0.2)",0.9221867748971021
DynamicCrafter,"3way(0.3,0.4,0.3)",0.9094981804222411
DynamicCrafter,"3way(0.3,0.3,0.4)",0.915760747582539
DynamicCrafter,"3way(0.5,0.3,0.2)",0.919538286980925
DynamicCrafter,"3way(0.4,0.4,0.2)",0.9117392562872565
DynamicCrafter,"dual(lg=0.3,lr=0.0)/GB",0.918677644502027
DynamicCrafter,"dual(lg=0.3,lr=0.0)/LR",0.9037987458767331
DynamicCrafter,"dual(lg=0.0,lr=0.3)/GB",0.9403927687456755
DynamicCrafter,"dual(lg=0.0,lr=0.3)/LR",0.9025693892998612
DynamicCrafter,"dual(lg=0.3,lr=0.3)/GB",0.9184451471992745
DynamicCrafter,"dual(lg=0.3,lr=0.3)/LR",0.9055438687736929
DynamicCrafter,"dual(lg=0.5,lr=0.2)/GB",0.9214741133911944
DynamicCrafter,"dual(lg=0.5,lr=0.2)/LR",0.9098145748875052
DynamicCrafter,"dual(lg=0.2,lr=0.5)/GB",0.9238569785566901
DynamicCrafter,"dual(lg=0.2,lr=0.5)/LR",0.9101120847516134
DynamicCrafter,"dual(lg=0.4,lr=0.1)/GB",0.9214666833841825
DynamicCrafter,"dual(lg=0.4,lr=0.1)/LR",0.9098145748875052
DynamicCrafter,"dual(lg=0.1,lr=0.4)/GB",0.9484143900660805
DynamicCrafter,"dual(lg=0.1,lr=0.4)/LR",0.907322426702207
DynamicCrafter,"dual(lg=0.3,lr=0.5)/GB",0.9238569785566902
DynamicCrafter,"dual(lg=0.3,lr=0.5)/LR",0.9101120847516134
DynamicCrafter,"dual(lg=0.5,lr=0.3)/GB",0.9184426705302702
DynamicCrafter,"dual(lg=0.5,lr=0.3)/LR",0.9081285824630164
DynamicCrafter,"dual(lg=0.4,lr=0.4)/GB",0.9249482608365878
DynamicCrafter,"dual(lg=0.4,lr=0.4)/LR",0.9082217671342929
SVD,safe-bn/GB-100,0.9029565158959119
SVD,safe-lat/LogReg,0.8066338724875571
SVD,soft-bn/LogReg,0.8790820277004417
SVD,safe-bn/LogReg,0.882918366318413
SVD,"GB+safeLR(0.3,0.7)",0.8542542582289617
SVD,"GB+safeLR(0.4,0.6)",0.8661875315940506
SVD,"GB+safeLR(0.5,0.5)",0.8763348915913628
SVD,"GB+safeLR(0.6,0.4)",0.8849040380823805
SVD,"GB+safeLR(0.7,0.3)",0.8917404179348831
SVD,"GB+softLR(0.3,0.7)",0.8954435842887273
SVD,"GB+softLR(0.4,0.6)",0.898923167850505
SVD,"GB+softLR(0.5,0.5)",0.9016244878136688
SVD,"GB+softLR(0.6,0.4)",0.9035481550601643
SVD,"GB+softLR(0.7,0.3)",0.9046434663885118
SVD,"GB+safeBnLR(0.3,0.7)",0.8977869274318065
SVD,"GB+safeBnLR(0.4,0.6)",0.9007768891142365
SVD,"GB+safeBnLR(0.5,0.5)",0.9030643365592991
SVD,"GB+safeBnLR(0.6,0.4)",0.9046391902148929
SVD,"GB+safeBnLR(0.7,0.3)",0.9053878260391485
SVD,"3way(0.4,0.3,0.3)",0.887885447417573
SVD,"3way(0.5,0.2,0.2)",0.8927612016658751
SVD,"3way(0.3,0.4,0.3)",0.8790979106310258
SVD,"3way(0.3,0.3,0.4)",0.8847021415993805
SVD,"3way(0.5,0.3,0.2)",0.8902009954321302
SVD,"3way(0.4,0.4,0.2)",0.8819714993028309
SVD,"dual(lg=0.3,lr=0.0)/GB",0.8895271926462032
