method,DC,SVD,ZS,mean,min,sharpe
safe-bn/GB-100,0.9274905615692175,0.9029565158959119,0.8622038189148568,0.8975502987933287,0.8622038189148568,0.8840873243874233
safe-lat/LogReg,0.8258595202382556,0.8066338724875571,0.874258634401997,0.8355840090426033,0.8066338724875571,0.8213584371860511
soft-bn/LogReg,0.913524315471906,0.8790820277004417,0.8648259336320671,0.885810758934805,0.8648259336320671,0.8755895394505416
safe-bn/LogReg,0.9084202102382402,0.882918366318413,0.8624918277493221,0.8846101347686585,0.8624918277493221,0.8752159819784116
"GB+safeLR(0.3,0.7)",0.8788478535793284,0.8542542582289617,0.8907216308212244,0.8746079142098382,0.8542542582289617,0.8670146043217586
"GB+safeLR(0.4,0.6)",0.892668285789028,0.8661875315940506,0.8927179434852608,0.8838579202894464,0.8661875315940506,0.8776104862300842
"GB+safeLR(0.5,0.5)",0.9039885206391665,0.8763348915913628,0.8926245463346556,0.8909826528550617,0.8763348915913628,0.8853081094001934
"GB+safeLR(0.6,0.4)",0.9128014377063568,0.8849040380823805,0.8905912039633308,0.8960988932506894,0.8849040380823805,0.8900806265094877
"GB+safeLR(0.7,0.3)",0.9191280886771337,0.8917404179348831,0.8864294763053076,0.899099327639108,0.8864294763053076,0.8919355881967621
"GB+softLR(0.3,0.7)",0.9258785596312241,0.8954435842887273,0.8730329510907511,0.8981183650035675,0.8730329510907511,0.8872899269474765
"GB+softLR(0.4,0.6)",0.928522094209393,0.898923167850505,0.8742355936952397,0.9005602852517125,0.8742355936952397,0.8894639934570235
"GB+softLR(0.5,0.5)",0.9303687605355176,0.9016244878136688,0.8746194683274628,0.9022042388922165,0.8746194683274628,0.8908226164323796
"GB+softLR(0.6,0.4)",0.9314495169721484,0.9035481550601643,0.8742578115196129,0.9030851611839751,0.8742578115196129,0.8914098056173736
"GB+softLR(0.7,0.3)",0.9316402204854579,0.9046434663885118,0.8728523284074221,0.9030453384271305,0.8728523284074221,0.891032015451642
"GB+safeBnLR(0.3,0.7)",0.9222022540783772,0.8977869274318065,0.8714707088843731,0.8971532967981856,0.8714707088843731,0.8867953406349447
"GB+safeBnLR(0.4,0.6)",0.9253030436714141,0.9007768891142365,0.8728609686724561,0.8996469671527022,0.8728609686724561,0.8889348217849553
"GB+safeBnLR(0.5,0.5)",0.9276010829235221,0.9030643365592991,0.8736422954962413,0.9014359049930208,0.8736422954962413,0.8904065764611764
"GB+safeBnLR(0.6,0.4)",0.9290824405715533,0.9046391902148929,0.8733723900742281,0.9023646736202249,0.8733723900742281,0.8909645091410884
"GB+safeBnLR(0.7,0.3)",0.9298901442504904,0.9053878260391485,0.8722709620029945,0.9025163107642111,0.8722709620029945,0.8907111089397456
"3way(0.4,0.3,0.3)",0.9181405169117796,0.887885447417573,0.8893540002987063,0.8984599882093529,0.887885447417573,0.8914954163225766
"3way(0.5,0.2,0.2)",0.9221867748971021,0.8927612016658751,0.8877485567671585,0.9008988444433785,0.8877485567671585,0.893303191745156
