feature,fake_auc,real_source_auc,gen_DynamicCrafter_vs_SVD,gen_DynamicCrafter_vs_ZeroScope,gen_SVD_vs_ZeroScope,gen_mean_auc,gen_max_auc,domain_specificity
noise_residual_energy,0.6052926178635416,0.5861687368935575,0.6366077174432194,0.9458972971652642,0.8639625741589105,0.8154891962557981,0.9458972971652642,0.8154891962557981
channel_mutual_information,0.5784454559204486,0.5296616555205076,0.5002594818256674,0.952087982244547,0.9552932072732266,0.8025468904478137,0.9552932072732266,0.8025468904478137
latent_std,0.6750033688019883,0.5023547121046008,0.5727644492984862,0.8443095319117327,0.8801671895328603,0.7657470569143597,0.8801671895328603,0.7657470569143597
latent_kurtosis,0.6073487185267028,0.5371294319167108,0.5836663103993281,0.8072159467149033,0.8767110896601903,0.7558644489248073,0.8767110896601903,0.7558644489248073
ch1_variance,0.5932580198656392,0.5743031416877105,0.5962688312256643,0.7998620091059268,0.8458247348997422,0.747318525077111,0.8458247348997422,0.747318525077111
channel_correlation_std,0.553092885061002,0.5710527518449238,0.5109456226503337,0.8679978571928089,0.8550273559763061,0.7446569452731495,0.8679978571928089,0.7446569452731495
patch_similarity,0.6202421785396437,0.5261646538428513,0.5809556448505946,0.7864452053350679,0.8489540090131282,0.7387849530662636,0.8489540090131282,0.7387849530662636
gradient_magnitude_mean,0.5444023613878501,0.5064142797345164,0.6062757283680351,0.8351688062951151,0.7585130682435295,0.7333192009688932,0.8351688062951151,0.7333192009688932
ch0_energy,0.5551207542145429,0.5124331424167138,0.5721320546369657,0.7876348916199308,0.8336281917919195,0.7311317126829385,0.8336281917919195,0.7311317126829385
spectral_entropy,0.5117498557583374,0.6478324488041263,0.5612437515621933,0.7915326993916556,0.8335355911601225,0.7287706807046571,0.8335355911601225,0.7287706807046571
ch0_variance,0.5699178063412607,0.5503394134734032,0.5934127860508585,0.7369610483560378,0.804013816476442,0.711462550294446,0.804013816476442,0.711462550294446
spectral_slope,0.560130889089257,0.6616187540749462,0.5299017566637698,0.7720172267778624,0.7993570445971905,0.7004253426796075,0.7993570445971905,0.7004253426796075
channel_correlation_mean,0.53052156500452,0.5902108305845484,0.517743697464327,0.7875686399297599,0.7686624936409281,0.6913249436783383,0.7875686399297599,0.6913249436783383
patch_entropy,0.5134049667893792,0.5327971601449341,0.5258442824461687,0.7492110862499971,0.7832823342093804,0.686112567635182,0.7832823342093804,0.686112567635182
spatial_variance,0.6005132988477018,0.5086110147804221,0.5087137836262539,0.7465608513409108,0.7357560915864816,0.6636769088512154,0.7465608513409108,0.6636769088512154
object_latent_variance,0.5154349710991099,0.5589808692786489,0.5042997735943884,0.7148160863118989,0.7175274673941787,0.645547775766822,0.7175274673941787,0.645547775766822
psd_slope_diff_median_objmedian,0.6758574312778993,0.5468553788816457,0.5159006113461617,0.7136079967797664,0.703679959011428,0.6443961890457853,0.7136079967797664,0.6443961890457853
ch2_variance,0.5017254069425205,0.6038809064878601,0.6084479657725619,0.5933835976206945,0.7177956956057121,0.6398757529996562,0.7177956956057121,0.6398757529996562
edgeflow_align_median_objmedian,0.5151919647758356,0.639515802687128,0.5217166018163459,0.7021211917407564,0.6746089727866386,0.6328155887812469,0.7021211917407564,0.639515802687128
latent_jerk_mean,0.6117045283998402,0.6587776181139436,0.6841353107110285,0.5742197943320007,0.6249753642704177,0.6277768231044824,0.6841353107110285,0.6587776181139436
ch2_energy,0.5422974076210987,0.574984783440968,0.5872403940042918,0.5870983867713444,0.6914738422197478,0.6219375409984614,0.6914738422197478,0.6219375409984614
latent_density_score,0.5048718971983247,0.5252454930283728,0.6818197072486576,0.6553774455824344,0.5232153580376193,0.6201375036229038,0.6818197072486576,0.6201375036229038
orient_R_median_objmedian,0.5393923542575233,0.5501987522184391,0.5232254356086385,0.6792725564419229,0.6506523145040981,0.6177167688515531,0.6792725564419229,0.6177167688515531
ch3_energy,0.5766814336745301,0.5272322245367944,0.5330176863778887,0.6397912335629724,0.6748539270425868,0.6158876156611494,0.6748539270425868,0.6158876156611494
nearest_neighbor_distance,0.5507619149745038,0.5444801092018394,0.6815568694759433,0.6614813007950537,0.5026177422810523,0.6152186375173497,0.6815568694759433,0.6152186375173497
spatial_entropy,0.6382063972637297,0.7841112240723513,0.5827434249614267,0.5826414548871162,0.6739284159151601,0.6131044319212343,0.6739284159151601,0.7841112240723513
spatial_autocorrelation,0.5735141575819726,0.5630242280511909,0.5570984857698449,0.5963995552437041,0.6472480445750721,0.600248695196207,0.6472480445750721,0.600248695196207
latent_frame_distance_std,0.6606377277207949,0.6573196116262892,0.6448742204470604,0.5871470717254851,0.567426960220023,0.5998160841308562,0.6448742204470604,0.6573196116262892
orient_phase_noise_objmedian,0.5633213234143345,0.5001643815340474,0.5753355074500681,0.6451671566949508,0.5715555288519469,0.5973527309989887,0.6451671566949508,0.5973527309989887
inter_obj_pairs,0.6343028207712667,0.505685434625883,0.5126889700222648,0.6347238157761336,0.6221083760820326,0.589840387293477,0.6347238157761336,0.589840387293477
mahalanobis_distance,0.6229289532435103,0.6429907445052369,0.6369222368004562,0.5171282368384158,0.6036966964518278,0.5859157233635666,0.6369222368004562,0.6429907445052369
orient_phase_noise_objspread,0.6073572226530656,0.5125890637178881,0.5182986368680047,0.6263160413075942,0.6053819949378321,0.5833322243711437,0.6263160413075942,0.5833322243711437
object_latent_entropy,0.6429451118135674,0.5338570612819735,0.5552117723400697,0.5606673084380895,0.6194148696476918,0.578431316808617,0.6194148696476918,0.578431316808617
noise_residual_mean,0.6574611627863518,0.5416840417710951,0.5997596873438645,0.5497960083691277,0.5725148779999056,0.574023524570966,0.5997596873438645,0.574023524570966
hf_var_ratio_std_objmedian,0.5192233586525142,0.5328593072761323,0.5066627630290617,0.5981425100623937,0.6091843980645313,0.5713298903853289,0.6091843980645313,0.5713298903853289
ch3_mean,0.5624040092174509,0.5524834104321471,0.5122594088002597,0.6080238827304931,0.5914149805703737,0.5705660907003755,0.6080238827304931,0.5705660907003755
inside_out_dI_diffz_std_objspread,0.6125495392734424,0.5056638491719172,0.5035861650143325,0.5989072486375742,0.6066036300107919,0.5696990145542329,0.6066036300107919,0.5696990145542329
inside_out_dG_diffz_std_objspread,0.6171802733175116,0.5183290549856626,0.5142143150740281,0.6048377787213625,0.5877962931356356,0.568949462310342,0.6048377787213625,0.568949462310342
latent_skewness,0.5279328614917975,0.5219641086875838,0.5516819872361253,0.5513261547284801,0.6020361574930417,0.5683480998192157,0.6020361574930417,0.5683480998192157
trajectory_curvature_consistency,0.6269542153895926,0.5529258727046479,0.5374718335364352,0.5649295005057547,0.5931461667134896,0.5651825002518932,0.5931461667134896,0.5651825002518932
edgeflow_align_diff_std_objspread,0.6770210549029319,0.5615478778810453,0.502124046004933,0.5910885453839135,0.5901821211784082,0.5611315708557516,0.5910885453839135,0.5615478778810453
ch0_mean,0.5309723384493379,0.5034165108639669,0.5453499863480075,0.536200023890761,0.5977029101027785,0.5597509734471823,0.5977029101027785,0.5597509734471823
object_latent_temporal_variance,0.6657856440419434,0.5171667613105801,0.5624943116697555,0.5862041562562843,0.5269956426533365,0.5585647035264588,0.5862041562562843,0.5585647035264588
noise_spatial_correlation,0.6354202374264484,0.6381480913951841,0.5566699984508948,0.5892187754613109,0.5279275912578402,0.5579387883900152,0.5892187754613109,0.6381480913951841
psd_slope_diff_std_objspread,0.6398835898245976,0.575132639847254,0.5171985574260263,0.5837647221795602,0.5627833934219548,0.5545822243425137,0.5837647221795602,0.575132639847254
psd_slope_diff_std_objmedian,0.5892183043545799,0.5682385779344792,0.5769894523926694,0.5381236651371896,0.5454094681092337,0.5535075285463642,0.5769894523926694,0.5682385779344792
ch2_mean,0.5000035038460551,0.5055202624158661,0.5154885010488006,0.5787735942177666,0.556890625943957,0.5503842404035081,0.5787735942177666,0.5503842404035081
ch3_variance,0.6115041522035688,0.5147638970394404,0.5717568597571208,0.5318682340879669,0.5441183412965475,0.5492478117138785,0.5717568597571208,0.5492478117138785
hf_var_ratio_median_objmedian,0.592775967295101,0.5425711802088112,0.5370436146932489,0.5736964729005491,0.5367583242355827,0.5491661372764602,0.5736964729005491,0.5491661372764602
object_motion_smoothness,0.5218708245834511,0.5307939035087512,0.5516806448573065,0.5206539644107966,0.5742140418211523,0.5488495503630851,0.5742140418211523,0.5488495503630851
ch1_mean,0.602549818121191,0.5079843250070409,0.5611073658742067,0.5529606976905264,0.5311700989423721,0.5484127208357017,0.5611073658742067,0.5484127208357017
valid_frac_objspread,0.6046812149761388,0.5290302216913095,0.5120780534218444,0.5655930212209517,0.5540609421099145,0.5439106722509035,0.5655930212209517,0.5439106722509035
object_latent_motion_consistency,0.5060609784548507,0.5274264936224866,0.5625388786465385,0.5275456459088075,0.5406244418789906,0.5435696554781121,0.5625388786465385,0.5435696554781121
inside_out_dG_diffz_std_objmedian,0.6388087485488237,0.5527816534078214,0.560014132564204,0.5393673900481262,0.5244394690633009,0.5412736638918769,0.560014132564204,0.5527816534078214
normalized_temporal_variance,0.6882290554682189,0.6727975681337344,0.5556723425127881,0.5219057198296327,0.5390763111737766,0.5388847911720659,0.5556723425127881,0.6727975681337344
latent_smoothness,0.6882290372190207,0.6727975681337344,0.5556723425127881,0.5219057198296327,0.5390763111737766,0.5388847911720659,0.5556723425127881,0.6727975681337344
patch_variance_std,0.5738494501005604,0.5784383770079018,0.5538304645355597,0.5485402376963416,0.5024716610704633,0.5349474544341216,0.5538304645355597,0.5784383770079018
gradient_magnitude_std,0.5130864817823364,0.6032580119591322,0.5468456648278761,0.5488942492529119,0.505408801252634,0.533716238444474,0.5488942492529119,0.6032580119591322
