feature,branch,global_auc,global_auc_rank,coef,abs_coef,perm_importance,perm_std,perm_rank
latent_std,latent,0.6775568941460166,5,2.0041391740394503,2.0041391740394503,0.11612401894769926,0.0076352411995813125,1
ch0_mean,latent,0.5355123511709425,48,2.2039293069787305,2.2039293069787305,0.09686047058099023,0.007208551124823914,2
spectral_slope,latent,0.5578624363318732,37,1.6881658234726309,1.6881658234726309,0.08080905314981987,0.0035187158096182127,3
ch0_energy,latent,0.5417418205802611,43,-1.540153140881366,1.540153140881366,0.054786595296782835,0.005837707949744658,4
channel_correlation_mean,latent,0.5488545004027114,40,1.2625467838561828,1.2625467838561828,0.052832674571804836,0.004107966320114916,5
spectral_entropy,latent,0.5081068992508107,60,-1.1909851959844753,1.1909851959844753,0.04256425963469109,0.0032741162284622605,6
ch1_mean,latent,0.6083780205390987,19,-1.09662856929415,1.09662856929415,0.03403892932209941,0.005173505531757699,7
spatial_entropy,latent,0.622549901388342,13,-1.1495987631218063,1.1495987631218063,0.033816263063816285,0.0025678451686046077,8
ch3_mean,latent,0.56956213830913,32,-1.062669495220844,1.062669495220844,0.03275349354284044,0.0038868960492547794,9
patch_similarity,latent,0.6212518251664729,15,-0.8369267547355623,0.8369267547355623,0.02543564961341299,0.002454937632743484,10
gradient_magnitude_mean,latent,0.5293995627703313,49,0.8357405420249835,0.8357405420249835,0.021979622958284782,0.0022244281009658603,11
patch_variance_std,latent,0.5604723636169169,35,0.8274010815179027,0.8274010815179027,0.018894382619715377,0.002156263199597767,12
nearest_neighbor_distance,latent,0.5395524310974336,45,-0.727910035066531,0.727910035066531,0.01580006709157985,0.002155779687720995,13
edgeflow_align_diff_std_objmedian,physics,0.7380316886172814,1,0.635953205075327,0.635953205075327,0.015662804849392288,0.0020051842328908894,14
spatial_autocorrelation,latent,0.5710927662636309,30,1.1261198196620097,1.1261198196620097,0.010014633743175206,0.0018296455821728214,15
psd_slope_diff_median_objmedian,physics,0.6826730322639194,3,-0.4727313785696396,0.4727313785696396,0.007961372103839504,0.0014414805592614394,16
edgeflow_align_median_objmedian,physics,0.5412475468628204,44,0.41683639481378737,0.41683639481378737,0.007467746614224935,0.0013490891623149917,17
edgeflow_align_median_objspread,physics,0.5272263789831574,50,-0.43969022478783104,0.43969022478783104,0.006413079941075972,0.00105356143981462,18
ch0_variance,latent,0.5548003701380887,39,0.4614211548716292,0.4614211548716292,0.0063991430428136705,0.0015243448183921262,19
latent_kurtosis,latent,0.6054204810822812,20,-0.46406826601798756,0.46406826601798756,0.005998700303208393,0.001479078705446368,20
inside_out_dG_diffz_std_objmedian,physics,0.6598464996507672,7,-0.3232055254839197,0.3232055254839197,0.004351553396956753,0.001138246301835238,21
gradient_magnitude_std,latent,0.5255815008742972,51,-0.4383467762591307,0.4383467762591307,0.004053692710840007,0.000974153792217137,22
inside_out_dI_diffz_std_objmedian,physics,0.6129561295612955,16,-0.3359112533330689,0.3359112533330689,0.0034398209594743157,0.0009157024564911589,23
ch2_variance,latent,0.5070891815637524,61,-0.4301391111540149,0.4301391111540149,0.003188794733796996,0.00135924967744706,24
inside_out_dI_diffz_std_objspread,physics,0.6045972317430682,21,0.3313160193600734,0.3313160193600734,0.0027890002220179013,0.0006460408245339502,25
orient_R_median_objmedian,physics,0.5221126717196026,53,-0.28170560487403934,0.28170560487403934,0.0023715415019761933,0.0009312146387070658,26
edgeflow_align_diff_std_objspread,physics,0.6839216811140443,2,0.19310512536474567,0.19310512536474567,0.0019775810406324036,0.00048724091553832,27
ch3_variance,latent,0.6101233739610123,18,0.1961999551003014,0.1961999551003014,0.001642771368425011,0.00039976140270401325,28
object_latent_temporal_variance,latent,0.6788436263809278,4,0.1823225593320504,0.1823225593320504,0.001538730802327648,0.0003954224608184333,29
inside_out_dG_diffz_std_objspread,physics,0.6252351851581757,11,0.2161105475731938,0.2161105475731938,0.0014786076714520702,0.00042732007260417557,30
psd_slope_diff_median_objspread,physics,0.5473068564677742,42,-0.15827682079680824,0.15827682079680824,0.0014395519449264317,0.00028197263133706744,31
latent_frame_distance_std,latent,0.6664770600275174,6,0.23896539765469457,0.23896539765469457,0.0012403839453412947,0.00046080131179057957,32
latent_mean,latent,0.6468373774646837,8,-0.2591019487863415,0.2591019487863415,0.001153845530550024,0.0010038527882713806,33
orient_phase_noise_objmedian,physics,0.5474162449134373,41,-0.14905391476989013,0.14905391476989013,0.0010924259440221796,0.00035476666355318474,34
inter_obj_corr_min,physics,0.5611837936561184,34,-0.1508741591975521,0.1508741591975521,0.0009955158840124656,0.0004661148263859321,35
