rank,feature,mean_abs_shap,branch
1,ch0_mean,1.6770855694470213,latent
2,latent_std,1.5020228151446426,latent
3,spectral_slope,1.3968904835428484,latent
4,ch0_energy,1.1159547728733017,latent
5,spectral_entropy,1.0244355352026864,latent
6,channel_correlation_mean,0.9852741945655973,latent
7,spatial_entropy,0.843275667513842,latent
8,ch3_mean,0.8316413475429156,latent
9,ch1_mean,0.8216417091234379,latent
10,patch_variance_std,0.6533041648578081,latent
11,gradient_magnitude_mean,0.6445007216704076,latent
12,patch_similarity,0.6314020665687625,latent
13,nearest_neighbor_distance,0.6283730521199052,latent
14,edgeflow_align_diff_std_objmedian,0.5001016277432709,physics
15,psd_slope_diff_median_objmedian,0.37394284683457735,physics
16,ch0_variance,0.3639668751904435,latent
17,edgeflow_align_median_objspread,0.34865502248431807,physics
18,gradient_magnitude_std,0.3401404717312961,latent
19,edgeflow_align_median_objmedian,0.3197126367522169,physics
20,ch2_variance,0.30500456640700757,latent
21,spatial_autocorrelation,0.29331700811053507,latent
22,inside_out_dI_diffz_std_objspread,0.2899088742988136,physics
23,inside_out_dI_diffz_std_objmedian,0.27243570662032796,physics
24,ch2_mean,0.26302649544500173,latent
25,inside_out_dG_diffz_std_objmedian,0.2629894258790352,physics
26,latent_kurtosis,0.2201469618382576,latent
27,orient_R_median_objmedian,0.21811335475390717,physics
28,latent_mean,0.18672232974718625,latent
29,inside_out_dG_diffz_std_objspread,0.1840271991674524,physics
30,ch3_energy,0.16163620440908716,latent
31,spatial_variance,0.15811884225334075,latent
32,latent_frame_distance_std,0.15194994048540475,latent
33,edgeflow_align_diff_std_objspread,0.1494425917291199,physics
34,ch3_variance,0.14151518694339152,latent
35,psd_slope_diff_median_objspread,0.1294304853843704,physics
36,channel_correlation_std,0.12930568121963779,latent
37,orient_phase_noise_objmedian,0.11419797993583647,physics
38,inter_obj_corr_min,0.1065301934592148,physics
39,psd_slope_diff_std_objspread,0.09087884401836147,physics
40,object_latent_temporal_variance,0.0898415618192289,latent
41,object_latent_entropy,0.07607035062014836,latent
42,channel_mutual_information,0.06990832828040829,latent
43,latent_temporal_entropy,0.06950677318479895,latent
44,object_latent_variance,0.06643364412468591,latent
45,orient_R_median_objspread,0.05953998048026034,physics
46,ch2_energy,0.058088970574377986,latent
47,latent_skewness,0.05332752681034398,latent
48,object_latent_motion_consistency,0.04571863025031481,latent
49,hf_var_ratio_std_objmedian,0.04421427897246752,physics
50,ch1_variance,0.04378214754851868,latent
51,orient_phase_noise_objspread,0.04064900075582603,physics
52,valid_frac_objspread,0.032248260492736665,physics
53,hf_var_ratio_median_objmedian,0.028959122023578962,physics
54,hf_var_ratio_std_objspread,0.027806283118867584,physics
55,mahalanobis_distance,0.02469503454078294,latent
56,hf_var_ratio_median_objspread,0.024501096833462212,physics
57,inter_obj_corr_median,0.015586216178579361,physics
58,valid_frac_objmedian,0.014801574143696301,physics
59,psd_slope_diff_std_objmedian,0.008185128312763742,physics
60,patch_entropy,0.007662972361564778,latent
61,inter_obj_pairs,0.001969403386443143,physics
62,latent_density_score,0.0019162246953457929,latent
