config,holdout_gen,method,auc
A: z0(59D)+physics,DC,safe(g<=0.60)/bn-LR,0.8687363419757785
A: z0(59D)+physics,DC,safe(g<=0.60)/bn-GB,0.9067091236105321
A: z0(59D)+physics,DC,safe(g<=0.60)/GB+softLR(0.5),0.9203038048108471
A: z0(59D)+physics,DC,safe(g<=0.60)/GB+softLR(0.6),0.9203932302523852
A: z0(59D)+physics,DC,safe(g<=0.60)/GB+softLR(0.7),0.91911347967686
A: z0(59D)+physics,DC,safe(g<=0.65)/bn-LR,0.8800994153106829
A: z0(59D)+physics,DC,safe(g<=0.65)/bn-GB,0.9177781403133516
A: z0(59D)+physics,DC,safe(g<=0.65)/GB+softLR(0.5),0.9235734728692475
A: z0(59D)+physics,DC,safe(g<=0.65)/GB+softLR(0.6),0.9246272429371022
A: z0(59D)+physics,DC,safe(g<=0.65)/GB+softLR(0.7),0.9245277470629583
A: z0(59D)+physics,DC,safe(g<=0.70)/bn-LR,0.8839294022392614
A: z0(59D)+physics,DC,safe(g<=0.70)/bn-GB,0.9158244763878565
A: z0(59D)+physics,DC,safe(g<=0.70)/GB+softLR(0.5),0.9224149703022942
A: z0(59D)+physics,DC,safe(g<=0.70)/GB+softLR(0.6),0.9231920048821458
A: z0(59D)+physics,DC,safe(g<=0.70)/GB+softLR(0.7),0.9229720666340385
A: z0(59D)+physics,DC,safe_max(g<=0.70)/bn-LR,0.8687363419757785
A: z0(59D)+physics,DC,safe_max(g<=0.70)/bn-GB,0.9067091236105321
A: z0(59D)+physics,DC,safe_max(g<=0.70)/GB+softLR(0.5),0.9203038048108471
A: z0(59D)+physics,DC,safe_max(g<=0.70)/GB+softLR(0.6),0.9203932302523852
A: z0(59D)+physics,DC,safe_max(g<=0.70)/GB+softLR(0.7),0.91911347967686
A: z0(59D)+physics,DC,safe_max(g<=0.75)/bn-LR,0.8827753306626547
A: z0(59D)+physics,DC,safe_max(g<=0.75)/bn-GB,0.9181338279929828
A: z0(59D)+physics,DC,safe_max(g<=0.75)/GB+softLR(0.5),0.9243335891223214
A: z0(59D)+physics,DC,safe_max(g<=0.75)/GB+softLR(0.6),0.9254493930550268
A: z0(59D)+physics,DC,safe_max(g<=0.75)/GB+softLR(0.7),0.925424821199469
A: z0(59D)+physics,DC,safe_max(g<=0.80)/bn-LR,0.8819282058718678
A: z0(59D)+physics,DC,safe_max(g<=0.80)/bn-GB,0.9153092730557518
A: z0(59D)+physics,DC,safe_max(g<=0.80)/GB+softLR(0.5),0.9226631057616973
A: z0(59D)+physics,DC,safe_max(g<=0.80)/GB+softLR(0.6),0.9234453769665038
A: z0(59D)+physics,DC,safe_max(g<=0.80)/GB+softLR(0.7),0.9231940189686669
A: z0(59D)+physics,DC,soft(l=0.2)/bn-LR,0.8957206703685576
A: z0(59D)+physics,DC,soft(l=0.2)/bn-GB,0.9460305375798332
A: z0(59D)+physics,DC,soft(l=0.2)/GB+softLR(0.5),0.9388007726035895
A: z0(59D)+physics,DC,soft(l=0.2)/GB+softLR(0.6),0.9423270352847817
A: z0(59D)+physics,DC,soft(l=0.2)/GB+softLR(0.7),0.9448216828498519
A: z0(59D)+physics,DC,soft(l=0.3)/bn-LR,0.9005258779906666
A: z0(59D)+physics,DC,soft(l=0.3)/bn-GB,0.9489622419199886
A: z0(59D)+physics,DC,soft(l=0.3)/GB+softLR(0.5),0.9394368211269619
A: z0(59D)+physics,DC,soft(l=0.3)/GB+softLR(0.6),0.9433590532182081
A: z0(59D)+physics,DC,soft(l=0.3)/GB+softLR(0.7),0.9462831040295829
A: z0(59D)+physics,DC,soft(l=0.4)/bn-LR,0.8852659500546823
A: z0(59D)+physics,DC,soft(l=0.4)/bn-GB,0.9118696160949684
A: z0(59D)+physics,DC,soft(l=0.4)/GB+softLR(0.5),0.9177390670348418
A: z0(59D)+physics,DC,soft(l=0.4)/GB+softLR(0.6),0.9183537662410901
A: z0(59D)+physics,DC,soft(l=0.4)/GB+softLR(0.7),0.9180818645607377
A: z0(59D)+physics,Pika,safe(g<=0.60)/bn-LR,0.7033737223802018
A: z0(59D)+physics,Pika,safe(g<=0.60)/bn-GB,0.6800136761259872
A: z0(59D)+physics,Pika,safe(g<=0.60)/GB+softLR(0.5),0.6846885762652501
A: z0(59D)+physics,Pika,safe(g<=0.60)/GB+softLR(0.6),0.6864948255876981
A: z0(59D)+physics,Pika,safe(g<=0.60)/GB+softLR(0.7),0.6869579236749862
A: z0(59D)+physics,Pika,safe(g<=0.65)/bn-LR,0.7263429427576296
A: z0(59D)+physics,Pika,safe(g<=0.65)/bn-GB,0.725798121478467
A: z0(59D)+physics,Pika,safe(g<=0.65)/GB+softLR(0.5),0.7074259696289934
A: z0(59D)+physics,Pika,safe(g<=0.65)/GB+softLR(0.6),0.7140071883052445
A: z0(59D)+physics,Pika,safe(g<=0.65)/GB+softLR(0.7),0.7191157217075143
A: z0(59D)+physics,Pika,safe(g<=0.70)/bn-LR,0.6318737126512504
A: z0(59D)+physics,Pika,safe(g<=0.70)/bn-GB,0.6500824181169753
A: z0(59D)+physics,Pika,safe(g<=0.70)/GB+softLR(0.5),0.6676089851035855
A: z0(59D)+physics,Pika,safe(g<=0.70)/GB+softLR(0.6),0.6661924497777629
A: z0(59D)+physics,Pika,safe(g<=0.70)/GB+softLR(0.7),0.6639247701882691
A: z0(59D)+physics,Pika,safe_max(g<=0.70)/bn-LR,0.7033737223802018
A: z0(59D)+physics,Pika,safe_max(g<=0.70)/bn-GB,0.6800136761259872
A: z0(59D)+physics,Pika,safe_max(g<=0.70)/GB+softLR(0.5),0.6846885762652501
A: z0(59D)+physics,Pika,safe_max(g<=0.70)/GB+softLR(0.6),0.6864948255876981
A: z0(59D)+physics,Pika,safe_max(g<=0.70)/GB+softLR(0.7),0.6869579236749862
A: z0(59D)+physics,Pika,safe_max(g<=0.75)/bn-LR,0.7258526036063834
A: z0(59D)+physics,Pika,safe_max(g<=0.75)/bn-GB,0.720181458842366
A: z0(59D)+physics,Pika,safe_max(g<=0.75)/GB+softLR(0.5),0.7053956764539918
A: z0(59D)+physics,Pika,safe_max(g<=0.75)/GB+softLR(0.6),0.7116094187368485
A: z0(59D)+physics,Pika,safe_max(g<=0.75)/GB+softLR(0.7),0.7160719497652543
A: z0(59D)+physics,Pika,safe_max(g<=0.80)/bn-LR,0.7296163179532509
A: z0(59D)+physics,Pika,safe_max(g<=0.80)/bn-GB,0.716218162006499
A: z0(59D)+physics,Pika,safe_max(g<=0.80)/GB+softLR(0.5),0.7019065965070285
A: z0(59D)+physics,Pika,safe_max(g<=0.80)/GB+softLR(0.6),0.7075977551139537
A: z0(59D)+physics,Pika,safe_max(g<=0.80)/GB+softLR(0.7),0.7119307521035383
A: z0(59D)+physics,Pika,soft(l=0.2)/bn-LR,0.6644751508682394
A: z0(59D)+physics,Pika,soft(l=0.2)/bn-GB,0.6820645390839775
A: z0(59D)+physics,Pika,soft(l=0.2)/GB+softLR(0.5),0.6844812106151199
A: z0(59D)+physics,Pika,soft(l=0.2)/GB+softLR(0.6),0.6864914899472137
A: z0(59D)+physics,Pika,soft(l=0.2)/GB+softLR(0.7),0.6872964911841802
A: z0(59D)+physics,Pika,soft(l=0.3)/bn-LR,0.6600304099224186
A: z0(59D)+physics,Pika,soft(l=0.3)/bn-GB,0.6857626525013134
A: z0(59D)+physics,Pika,soft(l=0.3)/GB+softLR(0.5),0.6854574413969663
A: z0(59D)+physics,Pika,soft(l=0.3)/GB+softLR(0.6),0.6878563228455237
A: z0(59D)+physics,Pika,soft(l=0.3)/GB+softLR(0.7),0.6892973195349005
A: z0(59D)+physics,Pika,soft(l=0.4)/bn-LR,0.6615781471073048
A: z0(59D)+physics,Pika,soft(l=0.4)/bn-GB,0.6700912575642597
A: z0(59D)+physics,Pika,soft(l=0.4)/GB+softLR(0.5),0.6754605268644145
