holdout_gen,feat_config,model,auc,bacc
DynamicCrafter,safe-latent-only,LogReg,0.8258595202382556,0.7418818659843444
DynamicCrafter,safe-latent-only,GB-100,0.8430045710022306,0.7523470308608438
DynamicCrafter,safe-latent-only,GB-200,0.8468991330110568,0.7634982330514575
DynamicCrafter,safe-latent-only,GB-shallow,0.8449227511458464,0.7573386024466393
DynamicCrafter,safe-latent-only,RF-200,0.8309178070953471,0.7505344187335243
DynamicCrafter,safe-latent-only,RF-500,0.8416281622032449,0.7543636585973694
DynamicCrafter,safe-branchnorm,LogReg,0.9084202102382402,0.8278746000566538
DynamicCrafter,safe-branchnorm,GB-100,0.9274905615692175,0.8500881539373619
DynamicCrafter,safe-branchnorm,GB-200,0.9259132329972802,0.8447544924453856
DynamicCrafter,safe-branchnorm,GB-shallow,0.9247677735829197,0.8440173738330632
DynamicCrafter,safe-branchnorm,RF-200,0.8957452374429012,0.8083599962230797
DynamicCrafter,safe-branchnorm,RF-500,0.9060413696598758,0.8183601664940738
DynamicCrafter,soft-branchnorm,LogReg,0.913524315471906,0.8325429663374245
DynamicCrafter,soft-branchnorm,GB-100,0.9251086251545982,0.8473344075885139
DynamicCrafter,soft-branchnorm,GB-200,0.9271181324677376,0.8442498711358158
DynamicCrafter,soft-branchnorm,GB-shallow,0.9218970046236313,0.8416057173903958
DynamicCrafter,soft-branchnorm,RF-200,0.8930769361746917,0.8073961076050766
DynamicCrafter,soft-branchnorm,RF-500,0.9112906696139027,0.8298969550902513
DynamicCrafter,all-branchnorm,LogReg,0.9304114830758371,0.8568488411510938
DynamicCrafter,all-branchnorm,GB-100,0.9550877746974207,0.8854280535393921
DynamicCrafter,all-branchnorm,GB-200,0.9534212860413387,0.8818388957771246
DynamicCrafter,all-branchnorm,GB-shallow,0.9510269662816995,0.8785936854227906
DynamicCrafter,all-branchnorm,RF-200,0.895176841906478,0.8069784792942731
DynamicCrafter,all-branchnorm,RF-500,0.9214118870824685,0.8345880757674966
SVD,safe-latent-only,LogReg,0.8066338724875571,0.7361988787261889
SVD,safe-latent-only,GB-100,0.8273812560038242,0.7383659824279808
SVD,safe-latent-only,GB-200,0.8246997897038902,0.7372184406932899
SVD,safe-latent-only,GB-shallow,0.8224245598977384,0.7373181671708988
SVD,safe-latent-only,RF-200,0.7907756826223941,0.7298983950604085
SVD,safe-latent-only,RF-500,0.8047056236264701,0.7366950675864512
SVD,safe-branchnorm,LogReg,0.882918366318413,0.8115091685744
SVD,safe-branchnorm,GB-100,0.9029565158959119,0.8142697440862809
SVD,safe-branchnorm,GB-200,0.8989671513505837,0.811796130368316
SVD,safe-branchnorm,GB-shallow,0.8998407125327013,0.8115412398765407
SVD,safe-branchnorm,RF-200,0.8465244635311115,0.7729816078718248
SVD,safe-branchnorm,RF-500,0.8649807343106426,0.7899558790514836
SVD,soft-branchnorm,LogReg,0.8790820277004417,0.7993332223564465
SVD,soft-branchnorm,GB-100,0.8956436481258905,0.8003109389102783
SVD,soft-branchnorm,GB-200,0.8941204139946946,0.8055758249578873
SVD,soft-branchnorm,GB-shallow,0.890188166911274,0.7971465704323974
SVD,soft-branchnorm,RF-200,0.8400683576897056,0.759966004419731
SVD,soft-branchnorm,RF-500,0.8586590224972549,0.7749049696773473
SVD,all-branchnorm,LogReg,0.9127373467259019,0.8346570126956541
SVD,all-branchnorm,GB-100,0.9261672808575561,0.8398838713421535
SVD,all-branchnorm,GB-200,0.9279910689059563,0.8396659392080832
SVD,all-branchnorm,GB-shallow,0.921191036529213,0.8348787628418839
SVD,all-branchnorm,RF-200,0.8589207854109174,0.7775891849460361
SVD,all-branchnorm,RF-500,0.8857278123859368,0.7979691229720629
ZeroScope,safe-latent-only,LogReg,0.874258634401997,0.7998717126363053
ZeroScope,safe-latent-only,GB-100,0.8628082260260419,0.7876844130853111
ZeroScope,safe-latent-only,GB-200,0.8624737243368699,0.782552918537524
ZeroScope,safe-latent-only,GB-shallow,0.8599914996249713,0.7854393842206542
ZeroScope,safe-latent-only,RF-200,0.854095135901083,0.7748556767158434
ZeroScope,safe-latent-only,RF-500,0.8567538688843896,0.7780628608082104
ZeroScope,safe-branchnorm,LogReg,0.8624918277493221,0.7677998717126363
ZeroScope,safe-branchnorm,GB-100,0.8622038189148568,0.7546504169339321
ZeroScope,safe-branchnorm,GB-200,0.8669481473008841,0.7613855035279025
ZeroScope,safe-branchnorm,GB-shallow,0.8619730004060924,0.755612572161642
ZeroScope,safe-branchnorm,RF-200,0.8247758365525177,0.7254650416933932
ZeroScope,safe-branchnorm,RF-500,0.837152810493067,0.7379730596536241
ZeroScope,soft-branchnorm,LogReg,0.8648259336320671,0.7700449005772931
ZeroScope,soft-branchnorm,GB-100,0.8651719556746175,0.7514432328415651
ZeroScope,soft-branchnorm,GB-200,0.8646189787124442,0.7575368826170623
ZeroScope,soft-branchnorm,GB-shallow,0.8634591259919332,0.7617062219371392
ZeroScope,soft-branchnorm,RF-200,0.8293535312557474,0.730917254650417
ZeroScope,soft-branchnorm,RF-500,0.8423653589556965,0.7443874278383579
ZeroScope,all-branchnorm,LogReg,0.8064761666517861,0.6799230275817832
ZeroScope,all-branchnorm,GB-100,0.6589979514343045,0.5336754329698525
ZeroScope,all-branchnorm,GB-200,0.6527407537849503,0.5327132777421424
ZeroScope,all-branchnorm,GB-shallow,0.6744804834927737,0.5378447722899294
ZeroScope,all-branchnorm,RF-200,0.6680595322489663,0.549711353431687
ZeroScope,all-branchnorm,RF-500,0.6530748440329301,0.5458627325208467
