method,DynamicCrafter,SVD,ZeroScope,mean,min,std
safe-branchnorm/GB-100,0.9274905615692175,0.9029565158959119,0.8622038189148568,0.8975502987933287,0.8622038189148568,0.028171435311713063
safe-branchnorm/GB-200,0.9259132329972802,0.8989671513505837,0.8669481473008841,0.8972761772162494,0.8669481473008841,0.024892575573421404
safe-branchnorm/GB-shallow,0.9247677735829197,0.8998407125327013,0.8619730004060924,0.8955271621739045,0.8619730004060924,0.026926786207064398
soft-branchnorm/GB-100,0.9251086251545982,0.8956436481258905,0.8651719556746175,0.8953080763183686,0.8651719556746175,0.02511433704478887
soft-branchnorm/GB-200,0.9271181324677376,0.8941204139946946,0.8646189787124442,0.8952858417249588,0.8646189787124442,0.026016699600344542
soft-branchnorm/GB-shallow,0.9218970046236313,0.890188166911274,0.8634591259919332,0.8918480991756129,0.8634591259919332,0.024271242916818127
soft-branchnorm/LogReg,0.913524315471906,0.8790820277004417,0.8648259336320671,0.885810758934805,0.8648259336320671,0.020037279302184248
safe-branchnorm/LogReg,0.9084202102382402,0.882918366318413,0.8624918277493221,0.8846101347686585,0.8624918277493221,0.0190419069690994
all-branchnorm/LogReg,0.9304114830758371,0.9127373467259019,0.8064761666517861,0.8832083321511751,0.8064761666517861,0.05851962397131615
soft-branchnorm/RF-500,0.9112906696139027,0.8586590224972549,0.8423653589556965,0.8707716836889515,0.8423653589556965,0.028464712778558218
safe-branchnorm/RF-500,0.9060413696598758,0.8649807343106426,0.837152810493067,0.8693916381545285,0.837152810493067,0.028431824195379197
safe-branchnorm/RF-200,0.8957452374429012,0.8465244635311115,0.8247758365525177,0.8556818458421769,0.8247758365525177,0.02919015046092816
soft-branchnorm/RF-200,0.8930769361746917,0.8400683576897056,0.8293535312557474,0.8541662750400482,0.8293535312557474,0.026556547596316978
all-branchnorm/GB-shallow,0.9510269662816995,0.921191036529213,0.6744804834927737,0.8488994954345621,0.6744804834927737,0.1326797576154912
all-branchnorm/GB-100,0.9550877746974207,0.9261672808575561,0.6589979514343045,0.8467510023297603,0.6589979514343045,0.1427375004678515
all-branchnorm/GB-200,0.9534212860413387,0.9279910689059563,0.6527407537849503,0.8447177029107484,0.6527407537849503,0.14585111472128837
safe-latent-only/GB-200,0.8468991330110568,0.8246997897038902,0.8624737243368699,0.8446908823506055,0.8246997897038902,0.016128117167427115
safe-latent-only/GB-100,0.8430045710022306,0.8273812560038242,0.8628082260260419,0.8443980176773657,0.8273812560038242,0.01468080196392137
safe-latent-only/GB-shallow,0.8449227511458464,0.8224245598977384,0.8599914996249713,0.842446270222852,0.8224245598977384,0.01608984170487637
safe-latent-only/LogReg,0.8258595202382556,0.8066338724875571,0.874258634401997,0.8355840090426033,0.8066338724875571,0.027833842085650963
safe-latent-only/RF-500,0.8416281622032449,0.8047056236264701,0.8567538688843896,0.8343625515713682,0.8047056236264701,0.023115580590255733
safe-latent-only/RF-200,0.8309178070953471,0.7907756826223941,0.854095135901083,0.8252628752062746,0.7907756826223941,0.027405004678047604
all-branchnorm/RF-500,0.9214118870824685,0.8857278123859368,0.6530748440329301,0.820071514500445,0.6530748440329301,0.12725841708126434
all-branchnorm/RF-200,0.895176841906478,0.8589207854109174,0.6680595322489663,0.8073857198554539,0.6680595322489663,0.10642410428106554
