seed,holdout_gen,model,auc
42,DynamicCrafter,LogReg,0.9084202102382402
42,DynamicCrafter,GB-100,0.9274905615692175
42,DynamicCrafter,GB-200,0.9259132329972802
42,SVD,LogReg,0.882918366318413
42,SVD,GB-100,0.9029565158959119
42,SVD,GB-200,0.8989671513505837
42,ZeroScope,LogReg,0.8624918277493221
42,ZeroScope,GB-100,0.8622038189148568
42,ZeroScope,GB-200,0.8669481473008841
123,DynamicCrafter,LogReg,0.9102817365783888
123,DynamicCrafter,GB-100,0.9307916517679546
123,DynamicCrafter,GB-200,0.9334206359157251
123,SVD,LogReg,0.8833206320795489
123,SVD,GB-100,0.9040686264777615
123,SVD,GB-200,0.9036565866054971
123,ZeroScope,LogReg,0.8582766127363266
123,ZeroScope,GB-100,0.8595088791066461
123,ZeroScope,GB-200,0.8583807073579263
7,DynamicCrafter,LogReg,0.9090365912366164
7,DynamicCrafter,GB-100,0.9258652475353274
7,DynamicCrafter,GB-200,0.9280323329138475
7,SVD,LogReg,0.8868677180963086
7,SVD,GB-100,0.9022970688357048
7,SVD,GB-200,0.9051581344276265
7,ZeroScope,LogReg,0.8602424787521481
7,ZeroScope,GB-100,0.8558429380850952
7,ZeroScope,GB-200,0.8564312989897884
2024,DynamicCrafter,LogReg,0.9098145748875051
2024,DynamicCrafter,GB-100,0.9311507687735381
2024,DynamicCrafter,GB-200,0.9316631296737452
2024,SVD,LogReg,0.8909160327493811
2024,SVD,GB-100,0.9053206290251392
2024,SVD,GB-200,0.9071603000041236
2024,ZeroScope,LogReg,0.8596331343466581
2024,ZeroScope,GB-100,0.8620742149393474
2024,ZeroScope,GB-200,0.8655451328358461
9999,DynamicCrafter,LogReg,0.9099176662347974
9999,DynamicCrafter,GB-100,0.9279530795057188
9999,DynamicCrafter,GB-200,0.9276927196766708
9999,SVD,LogReg,0.8892855888367434
9999,SVD,GB-100,0.9059284565609486
9999,SVD,GB-200,0.9074202302719493
9999,ZeroScope,LogReg,0.8686906007493991
9999,ZeroScope,GB-100,0.8709843853953187
9999,ZeroScope,GB-200,0.8698578594113675
