strategy,seed,mean_auc,min_auc,std_auc
all_latent,42,0.9798453470360335,0.9388069688766151,0.019949202963255856
all_latent,123,0.9791913730507706,0.9395362409884097,0.019923679810656448
all_latent,7,0.9798731526822448,0.941139913990466,0.018785257846603724
all_latent,2024,0.9790038704070886,0.9370928943395112,0.01992015984913372
all_latent,9999,0.9794965447160954,0.9380637022040398,0.01936276580257875
soft(l=1.0),42,0.9759222322802614,0.9404567720975412,0.01828884971723314
soft(l=1.0),123,0.9741251253487642,0.9369493205122424,0.019395670857892944
soft(l=1.0),7,0.9752776785495754,0.9422408194385485,0.018200417585699357
soft(l=1.0),2024,0.9746739786852868,0.9390930798970208,0.018348771061827307
soft(l=1.0),9999,0.9758674315311906,0.9447023071847557,0.016859762369995163
safe_max(g<=0.80),42,0.9627577556258723,0.9078917040807573,0.025971434019390987
safe_max(g<=0.80),123,0.9617664719322568,0.9034850867911579,0.026935966283287635
safe_max(g<=0.80),7,0.9614158513111426,0.9039823843976093,0.02705750123834766
safe_max(g<=0.80),2024,0.9620092780391424,0.908488232434442,0.025832835341216765
safe_max(g<=0.80),9999,0.9635903136957241,0.9126196059366869,0.02407634061663035
