holdout_gen,method,auc,acc,f1,TP,TN,FP,FN,config
DynamicCrafter,latent-only,0.894383379074314,0.8081621321488062,0.8030777999430037,1409.0,1502.0,415.0,276.0,baseline
DynamicCrafter,physics-only,0.8503014570553334,0.7709605774569683,0.7411358644493253,1181.0,1596.0,321.0,504.0,baseline
DynamicCrafter,early-fusion,0.9343719863968956,0.8573014991671294,0.8525530694205393,1486.0,1602.0,315.0,199.0,baseline
DynamicCrafter,branch-norm,0.9304114830758371,0.8561910049972238,0.8494186046511628,1461.0,1623.0,294.0,224.0,baseline
DynamicCrafter,late-avg,0.9380702723871528,0.8700721821210439,0.8615384615384616,1456.0,1678.0,239.0,229.0,baseline
DynamicCrafter,stacking,0.9330636859955203,0.8511937812326485,0.8451761987290584,1463.0,1603.0,314.0,222.0,baseline
DynamicCrafter,enriched-stacking,0.9354564578370321,0.855635757912271,0.8484848484848485,1456.0,1626.0,291.0,229.0,baseline
DynamicCrafter,late-w0.3,0.9267583962949031,0.8498056635202665,0.8343032159264931,1362.0,1699.0,218.0,323.0,baseline
DynamicCrafter,late-w0.4,0.9369180021330312,0.8659078289838978,0.8544742392286834,1418.0,1701.0,216.0,267.0,baseline
DynamicCrafter,late-w0.5,0.9380702723871528,0.8700721821210439,0.8615384615384616,1456.0,1678.0,239.0,229.0,baseline
DynamicCrafter,late-w0.6,0.9336203173541745,0.8520266518600778,0.8446517050422617,1449.0,1620.0,297.0,236.0,baseline
DynamicCrafter,late-w0.7,0.9264995843839827,0.8375902276513049,0.8309737070210922,1438.0,1579.0,338.0,247.0,baseline
SVD,latent-only,0.8775471868122806,0.7965821389195149,0.7970297029702971,1449.0,1441.0,502.0,236.0,baseline
SVD,physics-only,0.8239077812615017,0.7549614112458655,0.7260400616332819,1178.0,1561.0,382.0,507.0,baseline
SVD,early-fusion,0.9148186215143459,0.8357221609702316,0.8318284424379232,1474.0,1558.0,385.0,211.0,baseline
SVD,branch-norm,0.9127373467259019,0.8326901874310915,0.8272132080842585,1453.0,1568.0,375.0,232.0,baseline
SVD,late-avg,0.9151014598551294,0.8329658213891952,0.828328611898017,1462.0,1560.0,383.0,223.0,baseline
SVD,stacking,0.91223733985348,0.8222160970231532,0.8189727757507719,1459.0,1524.0,419.0,226.0,baseline
SVD,enriched-stacking,0.9131130391224069,0.8233186328555678,0.8218949708252292,1479.0,1508.0,435.0,206.0,baseline
SVD,late-w0.3,0.9003355269085862,0.8183572216097024,0.8029895366218236,1343.0,1626.0,317.0,342.0,baseline
SVD,late-w0.4,0.9117327513664666,0.8329658213891952,0.8235294117647058,1414.0,1608.0,335.0,271.0,baseline
SVD,late-w0.5,0.9151014598551294,0.8329658213891952,0.828328611898017,1462.0,1560.0,383.0,223.0,baseline
SVD,late-w0.6,0.9133451742617111,0.8255237045203969,0.8218406980016887,1460.0,1535.0,408.0,225.0,baseline
SVD,late-w0.7,0.908859773576607,0.8178059536934951,0.8154146886344597,1460.0,1507.0,436.0,225.0,baseline
ZeroScope,latent-only,0.7655052641843323,0.6773572803078897,0.7242324561403509,1321.0,791.0,768.0,238.0,baseline
ZeroScope,physics-only,0.6930981974349933,0.6209108402822322,0.6703848298940324,1202.0,734.0,825.0,357.0,baseline
