feature,fake_auc,domain_utility,score
normalized_temporal_variance,0.6882290554682189,0.6727975681337344,0.6882290554682189
latent_smoothness,0.6882290372190207,0.6727975681337344,0.6882290372190207
latent_std,0.6750033688019883,0.7657470569143597,0.6750033688019883
object_latent_temporal_variance,0.6657856440419434,0.5585647035264588,0.6657856440419434
latent_frame_distance_std,0.6606377277207949,0.6573196116262892,0.6606377277207949
noise_residual_mean,0.6574611627863518,0.574023524570966,0.6574611627863518
object_latent_entropy,0.6429451118135674,0.578431316808617,0.6429451118135674
spatial_entropy,0.6382063972637297,0.7841112240723513,0.6382063972637297
noise_spatial_correlation,0.6354202374264484,0.6381480913951841,0.6354202374264484
trajectory_curvature_consistency,0.6269542153895926,0.5651825002518932,0.6269542153895926
mahalanobis_distance,0.6229289532435103,0.6429907445052369,0.6229289532435103
patch_similarity,0.6202421785396437,0.7387849530662636,0.6202421785396437
latent_jerk_mean,0.6117045283998402,0.6587776181139436,0.6117045283998402
ch3_variance,0.6115041522035688,0.5492478117138785,0.6115041522035688
latent_kurtosis,0.6073487185267028,0.7558644489248073,0.6073487185267028
noise_residual_energy,0.6052926178635416,0.8154891962557981,0.6052926178635416
ch1_mean,0.602549818121191,0.5484127208357017,0.602549818121191
spatial_variance,0.6005132988477018,0.6636769088512154,0.6005132988477018
ch1_variance,0.5932580198656392,0.747318525077111,0.5932580198656392
channel_mutual_information,0.5784454559204486,0.8025468904478137,0.5784454559204486
ch3_energy,0.5766814336745301,0.6158876156611494,0.5766814336745301
patch_variance_std,0.5738494501005604,0.5784383770079018,0.5738494501005604
spatial_autocorrelation,0.5735141575819726,0.600248695196207,0.5735141575819726
ch0_variance,0.5699178063412607,0.711462550294446,0.5699178063412607
ch3_mean,0.5624040092174509,0.5705660907003755,0.5624040092174509
