feature,branch,fake_auc,gen_mean_auc,source_auc,domain_utility
latent_std,latent,0.6750033688019883,0.7657470569143597,0.5023547121046008,0.7657470569143597
latent_skewness,latent,0.5279328614917975,0.5683480998192157,0.5219641086875838,0.5683480998192157
latent_kurtosis,latent,0.6073487185267028,0.7558644489248073,0.5371294319167108,0.7558644489248073
ch0_mean,latent,0.5309723384493379,0.5597509734471823,0.5034165108639669,0.5597509734471823
ch1_mean,latent,0.602549818121191,0.5484127208357017,0.5079843250070409,0.5484127208357017
ch2_mean,latent,0.5000035038460551,0.5503842404035081,0.5055202624158661,0.5503842404035081
ch3_mean,latent,0.5624040092174509,0.5705660907003755,0.5524834104321471,0.5705660907003755
ch0_variance,latent,0.5699178063412607,0.711462550294446,0.5503394134734032,0.711462550294446
ch1_variance,latent,0.5932580198656392,0.747318525077111,0.5743031416877105,0.747318525077111
ch2_variance,latent,0.5017254069425205,0.6398757529996562,0.6038809064878601,0.6398757529996562
ch3_variance,latent,0.6115041522035688,0.5492478117138785,0.5147638970394404,0.5492478117138785
ch0_energy,latent,0.5551207542145429,0.7311317126829385,0.5124331424167138,0.7311317126829385
ch2_energy,latent,0.5422974076210987,0.6219375409984614,0.574984783440968,0.6219375409984614
ch3_energy,latent,0.5766814336745301,0.6158876156611494,0.5272322245367944,0.6158876156611494
spatial_entropy,latent,0.6382063972637297,0.6131044319212343,0.7841112240723513,0.7841112240723513
spatial_variance,latent,0.6005132988477018,0.6636769088512154,0.5086110147804221,0.6636769088512154
spatial_autocorrelation,latent,0.5735141575819726,0.600248695196207,0.5630242280511909,0.600248695196207
gradient_magnitude_mean,latent,0.5444023613878501,0.7333192009688932,0.5064142797345164,0.7333192009688932
gradient_magnitude_std,latent,0.5130864817823364,0.533716238444474,0.6032580119591322,0.6032580119591322
spectral_entropy,latent,0.5117498557583374,0.7287706807046571,0.6478324488041263,0.7287706807046571
spectral_slope,latent,0.560130889089257,0.7004253426796075,0.6616187540749462,0.7004253426796075
noise_residual_mean,latent,0.6574611627863518,0.574023524570966,0.5416840417710951,0.574023524570966
noise_residual_energy,latent,0.6052926178635416,0.8154891962557981,0.5861687368935575,0.8154891962557981
noise_spatial_correlation,latent,0.6354202374264484,0.5579387883900152,0.6381480913951841,0.6381480913951841
patch_variance_std,latent,0.5738494501005604,0.5349474544341216,0.5784383770079018,0.5784383770079018
patch_similarity,latent,0.6202421785396437,0.7387849530662636,0.5261646538428513,0.7387849530662636
patch_entropy,latent,0.5134049667893792,0.686112567635182,0.5327971601449341,0.686112567635182
latent_frame_distance_std,latent,0.6606377277207949,0.5998160841308562,0.6573196116262892,0.6573196116262892
latent_temporal_entropy,latent,0.5524639629433241,0.532480133119103,0.580097215191795,0.580097215191795
latent_jerk_mean,latent,0.6117045283998402,0.6277768231044824,0.6587776181139436,0.6587776181139436
latent_smoothness,latent,0.6882290372190207,0.5388847911720659,0.6727975681337344,0.6727975681337344
normalized_temporal_variance,latent,0.6882290554682189,0.5388847911720659,0.6727975681337344,0.6727975681337344
trajectory_curvature_consistency,latent,0.6269542153895926,0.5651825002518932,0.5529258727046479,0.5651825002518932
channel_correlation_mean,latent,0.53052156500452,0.6913249436783383,0.5902108305845484,0.6913249436783383
channel_correlation_std,latent,0.553092885061002,0.7446569452731495,0.5710527518449238,0.7446569452731495
channel_mutual_information,latent,0.5784454559204486,0.8025468904478137,0.5296616555205076,0.8025468904478137
mahalanobis_distance,latent,0.6229289532435103,0.5859157233635666,0.6429907445052369,0.6429907445052369
latent_density_score,latent,0.5048718971983247,0.6201375036229038,0.5252454930283728,0.6201375036229038
nearest_neighbor_distance,latent,0.5507619149745038,0.6152186375173497,0.5444801092018394,0.6152186375173497
object_latent_variance,latent,0.5154349710991099,0.645547775766822,0.5589808692786489,0.645547775766822
object_latent_entropy,latent,0.6429451118135674,0.578431316808617,0.5338570612819735,0.578431316808617
object_latent_temporal_variance,latent,0.6657856440419434,0.5585647035264588,0.5171667613105801,0.5585647035264588
object_latent_motion_consistency,latent,0.5060609784548507,0.5435696554781121,0.5274264936224866,0.5435696554781121
object_motion_smoothness,latent,0.5218708245834511,0.5488495503630851,0.5307939035087512,0.5488495503630851
inter_obj_corr_median,physics,0.5274579261085585,0.5315259024038901,0.5377879068640636,0.5377879068640636
inter_obj_corr_min,physics,0.5585610018138243,0.5182576744811531,0.5328204850860326,0.5328204850860326
inter_obj_pairs,physics,0.6343028207712667,0.589840387293477,0.505685434625883,0.589840387293477
orient_phase_noise_objmedian,physics,0.5633213234143345,0.5973527309989887,0.5001643815340474,0.5973527309989887
orient_phase_noise_objspread,physics,0.6073572226530656,0.5833322243711437,0.5125890637178881,0.5833322243711437
orient_R_median_objmedian,physics,0.5393923542575233,0.6177167688515531,0.5501987522184391,0.6177167688515531
orient_R_median_objspread,physics,0.5911298348695753,0.5307563840474004,0.5075998192831004,0.5307563840474004
edgeflow_align_median_objmedian,physics,0.5151919647758356,0.6328155887812469,0.639515802687128,0.639515802687128
edgeflow_align_median_objspread,physics,0.5430039983263295,0.5193751414457056,0.526514686094524,0.526514686094524
edgeflow_align_diff_std_objmedian,physics,0.7314454562124358,0.5265429410247872,0.6606062934960735,0.6606062934960735
edgeflow_align_diff_std_objspread,physics,0.6770210549029319,0.5611315708557516,0.5615478778810453,0.5615478778810453
inside_out_dI_diffz_std_objmedian,physics,0.5968951763135335,0.511881507263375,0.5448026259297756,0.5448026259297756
inside_out_dI_diffz_std_objspread,physics,0.6125495392734424,0.5696990145542329,0.5056638491719172,0.5696990145542329
inside_out_dG_diffz_std_objmedian,physics,0.6388087485488237,0.5412736638918769,0.5527816534078214,0.5527816534078214
inside_out_dG_diffz_std_objspread,physics,0.6171802733175116,0.568949462310342,0.5183290549856626,0.568949462310342
hf_var_ratio_median_objmedian,physics,0.592775967295101,0.5491661372764602,0.5425711802088112,0.5491661372764602
hf_var_ratio_median_objspread,physics,0.5836317685546167,0.5299593514025925,0.5094879534981324,0.5299593514025925
hf_var_ratio_std_objmedian,physics,0.5192233586525142,0.5713298903853289,0.5328593072761323,0.5713298903853289
hf_var_ratio_std_objspread,physics,0.6266997485698469,0.5324855984406749,0.5323194337241962,0.5324855984406749
psd_slope_diff_median_objmedian,physics,0.6758574312778993,0.6443961890457853,0.5468553788816457,0.6443961890457853
psd_slope_diff_median_objspread,physics,0.5571956880502499,0.5287837962020737,0.5190855737532265,0.5287837962020737
psd_slope_diff_std_objmedian,physics,0.5892183043545799,0.5535075285463642,0.5682385779344792,0.5682385779344792
psd_slope_diff_std_objspread,physics,0.6398835898245976,0.5545822243425137,0.575132639847254,0.575132639847254
valid_frac_objmedian,physics,0.5280055662974391,0.5143663299032343,0.5035694275964573,0.5143663299032343
valid_frac_objspread,physics,0.6046812149761388,0.5439106722509035,0.5290302216913095,0.5439106722509035
