feature,DynamicCrafter,SVD,ZeroScope,mean_auc,std_auc,stability
edgeflow_align_diff_std_objmedian,0.7346871017478523,0.7331113352378222,0.7253832128271125,0.7310605499375956,0.004979445503576219,0.7260811044340194
noise_residual_energy,0.7842659346255687,0.6803400473624892,0.7083116180243746,0.7243058666708109,0.053777406995666854,0.670528459675144
normalized_temporal_variance,0.715016231354371,0.6499884769734913,0.702950304885475,0.6893183377377792,0.03459082401724337,0.6547275137205358
latent_smoothness,0.715016231354371,0.6499884769734914,0.7029502414522454,0.6893183165933693,0.03459081151799615,0.6547275050753731
edgeflow_align_diff_std_objspread,0.6932325610955937,0.694317621028424,0.6355299161260465,0.6743600327500214,0.03363224355492923,0.6407277891950922
spectral_slope,0.6300537784843142,0.6595910669263894,0.6498070868619125,0.6464839774242054,0.015046432945346886,0.6314375444788585
object_latent_temporal_variance,0.7013898690431384,0.656701250675909,0.6333274509585014,0.6638061902258496,0.03458299167782065,0.629223198548029
noise_residual_mean,0.6101422028419934,0.6923411980364438,0.6721747854434439,0.658219395440627,0.04283962401028236,0.6153797714303446
hf_var_ratio_std_objspread,0.6368508386818803,0.6292820462289165,0.6109992712790575,0.6257107187299514,0.013290660983349191,0.6124200577466022
inside_out_dG_diffz_std_objmedian,0.6693934557886465,0.607649192655231,0.6400352612637117,0.6390259699025297,0.03088450273617711,0.6081414671663525
psd_slope_diff_std_objspread,0.6641091347074477,0.6450221747004827,0.6036907482888252,0.6376073525655852,0.03088413904946392,0.6067232135161212
latent_frame_distance_std,0.724856773670622,0.596293718281139,0.6618644751585323,0.6610049890367644,0.06428583700991185,0.5967191520268526
noise_spatial_correlation,0.6756440026115436,0.6231126463383649,0.6012988080642411,0.6333518190047166,0.03821560519915372,0.5951362138055629
channel_correlation_mean,0.6186633543643483,0.600506443122667,0.665083584698078,0.6280844607283644,0.03330344933117665,0.5947810113971878
object_latent_entropy,0.6423455318172513,0.5905719044997622,0.7089557190384943,0.6472910517851692,0.05934665544072419,0.5879443963444451
inside_out_dI_diffz_std_objmedian,0.6025062853680923,0.582850967771357,0.6074990256655922,0.5976187596016804,0.013030641602676227,0.5845881179990042
ch3_variance,0.6392295698711726,0.5785204678267328,0.6185199784225526,0.612090005373486,0.030861094971166254,0.5812289104023197
orient_R_median_objmedian,0.604001897578627,0.576579265392809,0.586400245410479,0.5889938027939716,0.013894066860561995,0.5750997359334096
orient_R_median_objspread,0.6002996486301777,0.5984049667908818,0.5707872342908875,0.5898306165706491,0.016519239126179218,0.5733113774444698
ch1_mean,0.5670406935282581,0.620227359899542,0.6241813307378148,0.6038164613885383,0.03191005010388404,0.5719064112846542
spatial_entropy,0.6293723649326809,0.6987280797833183,0.5736401437955196,0.6339135295038396,0.06266749208456218,0.5712460374192774
trajectory_curvature_consistency,0.6308563700534194,0.569593430571933,0.6936454112909118,0.6313650706387548,0.06202755486305755,0.5693375157756972
patch_entropy,0.5764182419293067,0.6052986784758008,0.6786065343331087,0.6201078182460721,0.05267916800456142,0.5674286502415107
object_latent_variance,0.5838808784493176,0.5839216320188668,0.6540841992392072,0.6072955699024639,0.04052014673741606,0.5667754231650478
valid_frac_objspread,0.6284017027033273,0.6170967510765683,0.5600400593532043,0.6018461710443667,0.03664374044596557,0.5652024305984011
edgeflow_align_median_objmedian,0.6003079541477652,0.5682670610011922,0.6556176975665998,0.6080642375718525,0.04418883769133966,0.5638753998805128
mahalanobis_distance,0.6722055699173947,0.555538442933738,0.6463263152499574,0.62469010936703,0.06126906791694716,0.5634210414500828
inside_out_dG_diffz_std_objspread,0.6507491680038033,0.6345256340514798,0.554285079590942,0.6131866272154084,0.05165118583240379,0.5615354413830046
hf_var_ratio_median_objspread,0.5939103326003843,0.594060622927484,0.5579952891946314,0.5819887482408332,0.020779080936050284,0.5612096673047829
hf_var_ratio_median_objmedian,0.6213793617895842,0.5896651278200877,0.5614813257646496,0.5908419384581072,0.029966353504712707,0.5608755849533945
nearest_neighbor_distance,0.5539518168551865,0.6123896660032444,0.6027141302847493,0.58968520438106,0.031321881104359975,0.5583633232767
inter_obj_pairs,0.6759155053386422,0.6633971266539412,0.546873858201866,0.6287288300648165,0.07116428012167837,0.5575645499431381
psd_slope_diff_std_objmedian,0.6184427680711555,0.5533249428327589,0.5980172167934654,0.58992830923246,0.03330398790073734,0.5566243213317227
inside_out_dI_diffz_std_objspread,0.6368488267863157,0.6459365858941868,0.541059631803087,0.6079483481611966,0.058105267604816956,0.5498430805563796
latent_density_score,0.5983218521159777,0.5689734571359701,0.5518719526676464,0.5730557539731981,0.023492491359803695,0.5495632626133944
patch_variance_std,0.5428614746967506,0.5935129228910012,0.587446513100738,0.5746069702294966,0.027659224445030047,0.5469477457844666
psd_slope_diff_median_objmedian,0.7401858186743527,0.7316340058763364,0.5272420348162161,0.6663539531223017,0.12055031205530894,0.5458036410669928
hf_var_ratio_std_objmedian,0.5438297123340134,0.5514950516133865,0.5512540495773826,0.5488596045082609,0.004357680800466676,0.5445019237077942
inter_obj_corr_min,0.5708416285335076,0.5616613231854695,0.5395963540609446,0.5573664352599739,0.016059306988032658,0.5413071282719412
psd_slope_diff_median_objspread,0.5682143508613802,0.5638519197443597,0.535351021731717,0.5558057641124856,0.01784811098437019,0.5379576531281154
spectral_entropy,0.5478579399510046,0.6003318672351903,0.7247344177539967,0.6243080749800639,0.0908430845104188,0.5334649904696451
