feature,DynamicCrafter,SVD,ZeroScope,mean_auc,std_auc,stability
edgeflow_align_diff_std_objmedian,0.7346871017478523,0.7331113352378222,0.7253832128271125,0.7310605499375956,0.004979445503576219,0.7260811044340194
edgeflow_align_diff_std_objspread,0.6932325610955937,0.694317621028424,0.6355299161260465,0.6743600327500214,0.03363224355492923,0.6407277891950922
spectral_slope,0.6300525403947359,0.6595903034749865,0.6498071502951421,0.6464833313882882,0.01504678341176025,0.6314365479765279
object_latent_temporal_variance,0.7013899206302041,0.6567033883398372,0.6333274509585015,0.663806919976181,0.03458280014305176,0.6292241198331292
hf_var_ratio_std_objspread,0.6368508386818803,0.6292820462289165,0.6109992712790575,0.6257107187299514,0.013290660983349191,0.6124200577466022
latent_mean,0.6131775857913538,0.67936242239262,0.6385988157777218,0.6437129413205652,0.03338748057333839,0.6103254607472268
inside_out_dG_diffz_std_objmedian,0.6693934557886465,0.607649192655231,0.6400352612637117,0.6390259699025297,0.03088450273617711,0.6081414671663525
psd_slope_diff_std_objspread,0.6641091347074477,0.6450221747004827,0.6036907482888252,0.6376073525655852,0.03088413904946392,0.6067232135161212
latent_frame_distance_std,0.7248570831930166,0.59629397276494,0.6618650460575994,0.6610053673385187,0.06428586645881412,0.5967195008797046
channel_correlation_mean,0.6186636638867429,0.6005069520902688,0.6650837115645374,0.628084775847183,0.03330326529002441,0.5947815105571587
object_latent_entropy,0.6423372778867296,0.5905768414855014,0.7089663758210797,0.6472934983977702,0.059350177349055275,0.5879433210487149
inside_out_dI_diffz_std_objmedian,0.6025062853680923,0.582850967771357,0.6074990256655922,0.5976187596016804,0.013030641602676227,0.5845881179990042
ch3_variance,0.6392300857418303,0.5785203660332123,0.6185196612564042,0.6120900376771489,0.03086134412664045,0.5812286935505084
orient_R_median_objmedian,0.604001897578627,0.576579265392809,0.586400245410479,0.5889938027939716,0.013894066860561995,0.5750997359334096
orient_R_median_objspread,0.6002996486301777,0.5984049667908818,0.5707872342908875,0.5898306165706491,0.016519239126179218,0.5733113774444698
ch1_mean,0.5670402808317321,0.620227105415741,0.6241813307378148,0.603816238995096,0.03191022247806414,0.5719060165170318
spatial_entropy,0.629373396673996,0.698729046821762,0.5736341176387005,0.6339121870448196,0.06267085279738499,0.5712413342474345
patch_entropy,0.5764014761329345,0.605294606734985,0.6786093253952143,0.620101802754378,0.05268824255156719,0.5674135602028108
object_latent_variance,0.5838804657527914,0.5839211230512649,0.6540841992392072,0.6072952626810878,0.04052041277472099,0.5667748499063668
valid_frac_objspread,0.6284017027033273,0.6170967510765683,0.5600400593532043,0.6018461710443667,0.03664374044596557,0.5652024305984011
edgeflow_align_median_objmedian,0.6003079541477652,0.5682670610011922,0.6556176975665998,0.6080642375718525,0.04418883769133966,0.5638753998805128
mahalanobis_distance,0.6722060857880523,0.5555393081786615,0.6463266324161058,0.6246906754609398,0.0612688356708703,0.5634218397900695
inside_out_dG_diffz_std_objspread,0.6507491680038033,0.6345256340514798,0.554285079590942,0.6131866272154084,0.05165118583240379,0.5615354413830046
hf_var_ratio_median_objspread,0.5939103326003843,0.594060622927484,0.5579952891946314,0.5819887482408332,0.020779080936050284,0.5612096673047829
hf_var_ratio_median_objmedian,0.6213793617895842,0.5896651278200877,0.5614813257646496,0.5908419384581072,0.029966353504712707,0.5608755849533945
nearest_neighbor_distance,0.5539520232034495,0.6123898186935249,0.6027138765518305,0.5896852394829349,0.031321765967769435,0.5583634735151655
inter_obj_pairs,0.6759155053386422,0.6633971266539412,0.546873858201866,0.6287288300648165,0.07116428012167837,0.5575645499431381
psd_slope_diff_std_objmedian,0.6184427680711555,0.5533249428327589,0.5980172167934654,0.58992830923246,0.03330398790073734,0.5566243213317227
inside_out_dI_diffz_std_objspread,0.6368488267863157,0.6459365858941868,0.541059631803087,0.6079483481611966,0.058105267604816956,0.5498430805563796
latent_density_score,0.5983219552901091,0.5689733553424496,0.5518720161008761,0.5730557755778116,0.02349252708638283,0.5495632484914288
patch_variance_std,0.5428612167614217,0.5935130246845215,0.5874465765339677,0.574606939326637,0.027659421978442563,0.5469475173481945
psd_slope_diff_median_objmedian,0.7401858186743527,0.7316340058763364,0.5272420348162161,0.6663539531223017,0.12055031205530894,0.5458036410669928
hf_var_ratio_std_objmedian,0.5438297123340134,0.5514950516133865,0.5512540495773826,0.5488596045082609,0.004357680800466676,0.5445019237077942
inter_obj_corr_min,0.5708416285335076,0.5616613231854695,0.5395963540609446,0.5573664352599739,0.016059306988032658,0.5413071282719412
psd_slope_diff_median_objspread,0.5682143508613802,0.5638519197443597,0.535351021731717,0.5558057641124856,0.01784811098437019,0.5379576531281154
spectral_entropy,0.5478577336027417,0.6003316127513894,0.7247349252198342,0.6243080905246551,0.09084348542078481,0.5334646051038703
orient_phase_noise_objspread,0.6536841625231935,0.6303162683961251,0.5217778964120136,0.6019261091104441,0.07038690658104042,0.5315392025294037
edgeflow_align_median_objspread,0.5511301075322068,0.5463765680273882,0.5288085818562694,0.5421050858052882,0.011757839827352234,0.5303472459779359
latent_temporal_entropy,0.5242963214707843,0.5662377562753669,0.5701450997068878,0.5535597258176796,0.025418043957991382,0.5281416818596882
ch2_energy,0.5464666367874382,0.5412567102288643,0.6413050676553455,0.5763428048905493,0.05631924645561449,0.5200235584349349
