protocol,config,generator,auc,dim
seen,z0,ALL,0.9487309931785299,43
seen,z0,DC,0.9784517723269314,43
seen,z0,Latte,0.8450289975144989,43
seen,z0,OSora,0.9451022138301766,43
seen,z0,Pika,0.8980426677713338,43
seen,z0,SEINE,0.9838117710032726,43
seen,z0,SVD,0.9535146009011359,43
seen,z0,VCraft,0.9777393996678219,43
seen,z0,ZS,0.9661961209185732,43
seen,eps,ALL,0.8061174053860882,16
seen,eps,DC,0.870846311729776,16
seen,eps,Latte,0.8814889336016096,16
seen,eps,OSora,0.687111038322961,16
seen,eps,Pika,0.7270708527181187,16
seen,eps,SEINE,0.9144214174244855,16
seen,eps,SVD,0.7408964260988979,16
seen,eps,VCraft,0.8730225873328898,16
seen,eps,ZS,0.6902205085717926,16
seen,physics,ALL,0.8214380748966945,25
seen,physics,DC,0.864185110663984,25
seen,physics,Latte,0.7297727541720914,25
seen,physics,OSora,0.7821140247779426,25
seen,physics,Pika,0.7442303709132623,25
seen,physics,SEINE,0.9164139510810849,25
seen,physics,SVD,0.8616021268627072,25
seen,physics,VCraft,0.8926061200119801,25
seen,physics,ZS,0.6690282469072858,25
seen,csv,ALL,0.951579164210839,16
seen,csv,DC,0.9844475749764007,16
seen,csv,Latte,0.9605426677713338,16
seen,csv,OSora,0.9618157646288126,16
seen,csv,Pika,0.9442674144413995,16
seen,csv,SEINE,0.9648556421665384,16
seen,csv,SVD,0.8920622850722385,16
seen,csv,VCraft,0.9593227689806333,16
seen,csv,ZS,0.9245144067016478,16
seen,z0+physics,ALL,0.9536343465805557,68
seen,z0+physics,DC,0.9806500408476684,68
seen,z0+physics,Latte,0.8621967096697836,68
seen,z0+physics,OSora,0.9477283674688349,68
seen,z0+physics,Pika,0.9209180421897903,68
seen,z0+physics,SEINE,0.9854481085197788,68
seen,z0+physics,SVD,0.9578202494580699,68
seen,z0+physics,VCraft,0.9809367111256326,68
seen,z0+physics,ZS,0.9576809777721128,68
seen,z0+eps,ALL,0.9613731767688226,59
seen,z0+eps,DC,0.983128325187856,59
seen,z0+eps,Latte,0.9088205704817139,59
seen,z0+eps,OSora,0.9467409105797575,59
seen,z0+eps,Pika,0.917522385443885,59
seen,z0+eps,SEINE,0.9875036160795989,59
seen,z0+eps,SVD,0.9621741326281622,59
seen,z0+eps,VCraft,0.9827473540497335,59
seen,z0+eps,ZS,0.9765169700960918,59
seen,z0+eps+physics,ALL,0.9657769553477483,84
seen,z0+eps+physics,DC,0.9872679404980816,84
seen,z0+eps+physics,Latte,0.9114229494614747,84
seen,z0+eps+physics,OSora,0.9539459740660102,84
seen,z0+eps+physics,Pika,0.931571043910522,84
seen,z0+eps+physics,SEINE,0.9900638988324245,84
seen,z0+eps+physics,SVD,0.9675579666556956,84
seen,z0+eps+physics,VCraft,0.9861333146629014,84
seen,z0+eps+physics,ZS,0.9736260701463684,84
seen,all_combined,ALL,0.996073139425243,100
seen,all_combined,DC,0.9995164675282686,100
seen,all_combined,Latte,0.9918008048289739,100
seen,all_combined,OSora,0.9958363037321054,100
seen,all_combined,Pika,0.9892434357274872,100
seen,all_combined,SEINE,0.9968148980511545,100
seen,all_combined,SVD,0.9957908206693828,100
seen,all_combined,VCraft,0.9988000357849944,100
seen,all_combined,ZS,0.9975215799573711,100
per_gen,z0,DC,0.9947127120094398,43
per_gen,z0,Latte,0.9717276593670409,43
per_gen,z0,OSora,0.9752171650743637,43
per_gen,z0,Pika,0.9816241475433701,43
per_gen,z0,SEINE,0.9948937149264678,43
per_gen,z0,SVD,0.9870587507875405,43
per_gen,z0,VCraft,0.9978235200860575,43
per_gen,z0,ZS,0.9973015038272962,43
per_gen,eps,DC,0.9132765873123103,16
per_gen,eps,Latte,0.9342705008628308,16
per_gen,eps,OSora,0.8240707551033191,16
per_gen,eps,Pika,0.9355444171698069,16
per_gen,eps,SEINE,0.9567775101754967,16
per_gen,eps,SVD,0.8762286608951009,16
per_gen,eps,VCraft,0.9159737966504921,16
per_gen,eps,ZS,0.8362921175226955,16
per_gen,physics,DC,0.9056342493762441,25
per_gen,physics,Latte,0.8540021278112164,25
per_gen,physics,OSora,0.8240664190286229,25
per_gen,physics,Pika,0.8866428299249972,25
per_gen,physics,SEINE,0.9204356588127574,25
per_gen,physics,SVD,0.9045236183972302,25
per_gen,physics,VCraft,0.9237164579910927,25
per_gen,physics,ZS,0.7801451592626235,25
per_gen,csv,DC,0.9883690472973582,16
per_gen,csv,Latte,0.971382933270112,16
per_gen,csv,OSora,0.9700059259687513,16
per_gen,csv,Pika,0.9765308946130851,16
per_gen,csv,SEINE,0.9753982441710286,16
per_gen,csv,SVD,0.9417189828086084,16
per_gen,csv,VCraft,0.9773335823239971,16
per_gen,csv,ZS,0.9515673942336467,16
per_gen,z0+physics,DC,0.9953659217625495,68
per_gen,z0+physics,Latte,0.9765933380527758,68
per_gen,z0+physics,OSora,0.9791326405249541,68
per_gen,z0+physics,Pika,0.9869464279415499,68
per_gen,z0+physics,SEINE,0.9964803607925788,68
per_gen,z0+physics,SVD,0.9921027411206473,68
per_gen,z0+physics,VCraft,0.9987132240303225,68
per_gen,z0+physics,ZS,0.997176229152612,68
per_gen,z0+eps,DC,0.9973323965736213,59
per_gen,z0+eps,Latte,0.9861954462181127,59
per_gen,z0+eps,OSora,0.983366094786593,59
per_gen,z0+eps,Pika,0.9862051937070605,59
per_gen,z0+eps,SEINE,0.9972252788331194,59
per_gen,z0+eps,SVD,0.991882780571407,59
per_gen,z0+eps,VCraft,0.9988686000402665,59
per_gen,z0+eps,ZS,0.9975918931792145,59
per_gen,z0+eps+physics,DC,0.9975208293926374,84
per_gen,z0+eps+physics,Latte,0.9879048592900821,84
per_gen,z0+eps+physics,OSora,0.9856456656115551,84
per_gen,z0+eps+physics,Pika,0.9902477023974358,84
per_gen,z0+eps+physics,SEINE,0.9978657506933722,84
