threshold_name,threshold,auc_mean,auc_min,acc_pooled,balacc_pooled,f1_pooled,acc_mean,acc_min,balacc_mean,balacc_min,auc_DC,auc_Latte,auc_OSora,auc_Pika,auc_SEINE,auc_SVD,auc_VCraft,auc_ZS,acc_DC,acc_Latte,acc_OSora,acc_Pika,acc_SEINE,acc_SVD,acc_VCraft,acc_ZS,balacc_DC,balacc_Latte,balacc_OSora,balacc_Pika,balacc_SEINE,balacc_SVD,balacc_VCraft,balacc_ZS
default (0.5),0.5,0.9741224080404856,0.9451169608375174,0.9144702391342293,0.9144702391342293,0.917725415570605,0.9083402427852141,0.80849532037437,0.9083402427852141,0.8084953203743701,0.9968439863081578,0.9484178844119078,0.9832996780668172,0.9451169608375174,0.9593486912928546,0.9794633413584111,0.9942884596310256,0.9862002624171924,0.9684402712571727,0.8387700534759358,0.9300174520069808,0.80849532037437,0.8935449358059915,0.9276891405043747,0.9639084507042254,0.935856318152662,0.9684402712571727,0.8387700534759359,0.9300174520069808,0.8084953203743701,0.8935449358059915,0.9276891405043747,0.9639084507042254,0.935856318152662
Youden's J,0.6062418818473816,0.9741224080404856,0.9451169608375174,0.9195031128178274,0.9195031128178275,0.9206412940602863,0.9151963567092254,0.843772498200144,0.9151963567092254,0.843772498200144,0.9968439863081578,0.9484178844119078,0.9832996780668172,0.9451169608375174,0.9593486912928546,0.9794633413584111,0.9942884596310256,0.9862002624171924,0.9611371935315597,0.8614973262032085,0.937347294938918,0.843772498200144,0.8924750356633381,0.9310344827586207,0.9584507042253522,0.935856318152662,0.9611371935315598,0.8614973262032086,0.9373472949389179,0.843772498200144,0.8924750356633381,0.9310344827586208,0.9584507042253521,0.935856318152662
Max F1,0.5964222550392151,0.9741224080404856,0.9451169608375174,0.9193576540408448,0.9193576540408448,0.9206594538897476,0.9148421570263365,0.8405327573794097,0.9148421570263365,0.8405327573794097,0.9968439863081578,0.9484178844119078,0.9832996780668172,0.9451169608375174,0.9593486912928546,0.9794633413584111,0.9942884596310256,0.9862002624171924,0.9621804903495045,0.8601604278074866,0.937870855148342,0.8405327573794097,0.8928316690442225,0.9300051466803911,0.9589788732394366,0.9361770365618987,0.9621804903495044,0.8601604278074866,0.9378708551483421,0.8405327573794097,0.8928316690442226,0.9300051466803911,0.9589788732394366,0.9361770365618987
Max Bal.Acc,0.606532663316583,0.9741224080404856,0.9451169608375174,0.9193867457962414,0.9193867457962414,0.920517454034363,0.9150795592874787,0.843772498200144,0.9150795592874787,0.843772498200144,0.9968439863081578,0.9484178844119078,0.9832996780668172,0.9451169608375174,0.9593486912928546,0.9794633413584111,0.9942884596310256,0.9862002624171924,0.9608763693270735,0.8614973262032085,0.93717277486911,0.843772498200144,0.8922967189728959,0.9310344827586207,0.9584507042253522,0.9355355997434253,0.9608763693270735,0.8614973262032086,0.9371727748691099,0.843772498200144,0.8922967189728959,0.9310344827586208,0.9584507042253521,0.9355355997434253
Max Accuracy,0.606532663316583,0.9741224080404856,0.9451169608375174,0.9193867457962414,0.9193867457962414,0.920517454034363,0.9150795592874787,0.843772498200144,0.9150795592874787,0.843772498200144,0.9968439863081578,0.9484178844119078,0.9832996780668172,0.9451169608375174,0.9593486912928546,0.9794633413584111,0.9942884596310256,0.9862002624171924,0.9608763693270735,0.8614973262032085,0.93717277486911,0.843772498200144,0.8922967189728959,0.9310344827586207,0.9584507042253522,0.9355355997434253,0.9608763693270735,0.8614973262032086,0.9371727748691099,0.843772498200144,0.8922967189728959,0.9310344827586208,0.9584507042253521,0.9355355997434253
fixed (0.3),0.3,0.9741224080404856,0.9451169608375174,0.8911095595508233,0.8911095595508233,0.8998474834773768,0.8814047494812385,0.7321814254859611,0.8814047494812385,0.7321814254859611,0.9968439863081578,0.9484178844119078,0.9832996780668172,0.9451169608375174,0.9593486912928546,0.9794633413584111,0.9942884596310256,0.9862002624171924,0.9728742827334377,0.7885026737967914,0.8996509598603839,0.7321814254859611,0.8889087018544936,0.9027277406073083,0.9565140845070422,0.9098781270044901,0.9728742827334377,0.7885026737967915,0.8996509598603839,0.7321814254859611,0.8889087018544937,0.9027277406073082,0.9565140845070423,0.90987812700449
fixed (0.35),0.35,0.9741224080404856,0.9451169608375174,0.8999243614359691,0.8999243614359691,0.9067346274807505,0.8915200259710971,0.7602591792656588,0.8915200259710971,0.7602591792656588,0.9968439863081578,0.9484178844119078,0.9832996780668172,0.9451169608375174,0.9593486912928546,0.9794633413584111,0.9942884596310256,0.9862002624171924,0.9739175795513824,0.8069518716577541,0.9109947643979057,0.7602591792656588,0.8914051355206848,0.9132784354091611,0.9580985915492958,0.9172546504169339,0.9739175795513824,0.8069518716577541,0.9109947643979057,0.7602591792656588,0.8914051355206848,0.9132784354091611,0.9580985915492958,0.9172546504169339
fixed (0.4),0.4,0.9741224080404856,0.9451169608375174,0.906848199220341,0.906848199220341,0.9121873628784555,0.8991267896577783,0.7796976241900648,0.8991267896577783,0.7796976241900648,0.9968439863081578,0.9484178844119078,0.9832996780668172,0.9451169608375174,0.9593486912928546,0.9794633413584111,0.9942884596310256,0.9862002624171924,0.9720918101199791,0.8171122994652407,0.9214659685863874,0.7796976241900648,0.8949714693295292,0.9186824498198661,0.9617957746478873,0.9271969211032713,0.9720918101199791,0.8171122994652407,0.9214659685863875,0.7796976241900648,0.8949714693295292,0.9186824498198662,0.9617957746478873,0.9271969211032713
fixed (0.45),0.45,0.9741224080404856,0.9451169608375174,0.9110083202420434,0.9110083202420434,0.9152748926741449,0.9039149932816463,0.7933765298776098,0.9039149932816463,0.7933765298776098,0.9968439863081578,0.9484178844119078,0.9832996780668172,0.9451169608375174,0.9593486912928546,0.9794633413584111,0.9942884596310256,0.9862002624171924,0.9710485133020345,0.8251336898395721,0.9277486910994764,0.7933765298776098,0.8949714693295292,0.9238291302110139,0.9632042253521127,0.9320076972418216,0.9710485133020343,0.8251336898395722,0.9277486910994764,0.7933765298776098,0.8949714693295292,0.9238291302110139,0.9632042253521127,0.9320076972418216
fixed (0.55),0.55,0.9741224080404856,0.9451169608375174,0.9171175888753127,0.9171175888753127,0.9193534690180315,0.911965083203562,0.82829373650108,0.911965083203562,0.82829373650108,0.9968439863081578,0.9484178844119078,0.9832996780668172,0.9451169608375174,0.9593486912928546,0.9794633413584111,0.9942884596310256,0.9862002624171924,0.9653103808033385,0.848663101604278,0.9347294938917976,0.82829373650108,0.8928316690442225,0.9289758106021616,0.9607394366197183,0.9361770365618987,0.9653103808033385,0.848663101604278,0.9347294938917976,0.82829373650108,0.8928316690442226,0.9289758106021616,0.9607394366197183,0.9361770365618987
