variant,hf_DC,hf_SVD,hf_ZS,hf_mean,dh_GVR_mean,dh_K400_mean,dh_mean,n_latent,n_physics,n_total
top5-latent+physics,0.8720113183773484,0.8188915241657262,0.8150855735963375,0.8353294720464707,0.8516065167957897,0.7633155987212162,0.807461057758503,5,25,30
top5-safe-latent+physics,0.8765049247015226,0.841990497731337,0.7722751175590347,0.8302568466639647,0.858688222347372,0.7441442494971423,0.8014162359222571,5,25,30
top10-latent+physics,0.8913051890859388,0.8478326672174785,0.810648591780804,0.8499288160280738,0.873739679691948,0.7401297381664138,0.8069347089291808,10,25,35
top10-safe-latent+physics,0.898032131684491,0.8490226652473843,0.7800254352944953,0.8423600774087903,0.8628005726016479,0.7199951474502976,0.7913978600259727,10,25,35
top15-latent+physics,0.9033551125413875,0.8614098238980071,0.83896562038543,0.8679101856082748,0.8832862404727567,0.7650865456900214,0.824186393081389,15,25,40
top15-safe-latent+physics,0.9039296997503208,0.8674126553358247,0.8319229815003697,0.8677551121955052,0.8901547836738657,0.7523106012637895,0.8212326924688277,15,25,40
top20-latent+physics,0.9163405977131059,0.876965016318184,0.8084848225515855,0.8672634788609584,0.8829139059692274,0.7689436827268628,0.825928794348045,20,25,45
top20-safe-latent+physics,0.9056961839174402,0.8806382494566969,0.8627991743198158,0.8830445358979843,0.8875470313508896,0.7731200109360432,0.8303335211434663,20,25,45
top44-latent+physics,0.9343719863968956,0.9148186215143459,0.7967838464896455,0.8819914848002957,0.8751161542844862,0.7993578934114692,0.8372370238479777,44,25,69
top32-safe-latent+physics,0.9095489521368236,0.890027199518625,0.8201890901430622,0.8732550805995037,0.8749592715116382,0.7599710069568295,0.8174651392342339,32,25,57
physics-only,0.8503014570553334,0.8239077812615017,0.6930981974349933,0.7891024785839428,0.8124264895911694,0.7057739779901433,0.7591002337906563,0,25,25
