holdout_gen,method,auc,bacc,TP,TN,FP,FN
DynamicCrafter,safe-latent-only,0.8258595202382556,0.7418818659843444,1281,1387,530,404
DynamicCrafter,soft-branchnorm,0.913524315471906,0.8325429663374245,1387,1614,303,298
DynamicCrafter,physics-only,0.8503014570553334,0.7667205342175042,1181,1596,321,504
DynamicCrafter,safe-branchnorm,0.9084202102382402,0.8278746000566538,1395,1587,330,290
DynamicCrafter,"w3(0.6,0.3,0.1)",0.8852132025032933,0.8032966012361674,1357,1536,381,328
DynamicCrafter,"w3(0.5,0.3,0.2)",0.898749436944781,0.8228206473703192,1385,1579,338,300
DynamicCrafter,"w3(0.5,0.4,0.1)",0.8946697439279041,0.8154192768436092,1375,1562,355,310
DynamicCrafter,"w3(0.7,0.2,0.1)",0.8736047452978117,0.7877113875692887,1337,1499,418,348
DynamicCrafter,"w3(0.4,0.4,0.2)",0.9058837915944951,0.8311216679127408,1391,1604,313,294
DynamicCrafter,"w3(0.4,0.3,0.3)",0.9088440302215535,0.8315091118200576,1380,1618,299,305
DynamicCrafter,"w3(0.5,0.2,0.3)",0.9020130675248325,0.8268501878398649,1381,1599,318,304
DynamicCrafter,"w3(0.3,0.4,0.3)",0.9133905753456888,0.8344953554716584,1376,1634,283,309
DynamicCrafter,"w3(0.6,0.2,0.2)",0.889229430876942,0.8076852587112963,1363,1546,371,322
DynamicCrafter,"w3(0.3,0.5,0.2)",0.9109578672164871,0.8354120325867724,1387,1625,292,298
DynamicCrafter,"w4(0.4,0.3,0.1,0.2)",0.9006143687048105,0.8255271822162782,1395,1578,339,290
DynamicCrafter,"w4(0.5,0.2,0.1,0.2)",0.8927571362895474,0.8153474534424925,1373,1564,353,312
DynamicCrafter,"w4(0.3,0.3,0.2,0.2)",0.9099133320640405,0.8320572296290105,1388,1611,306,297
DynamicCrafter,"w4(0.4,0.2,0.2,0.2)",0.9041854158249861,0.8289632508757347,1389,1598,319,296
DynamicCrafter,"w4(0.3,0.3,0.1,0.3)",0.9059481849885995,0.8318946982256215,1398,1599,318,287
DynamicCrafter,"w4(0.4,0.3,0.2,0.1)",0.9052002309493846,0.827326482247701,1387,1594,323,298
DynamicCrafter,"w4(0.5,0.3,0.1,0.1)",0.8937942414349821,0.8153474534424925,1373,1564,353,312
SVD,safe-latent-only,0.8066338724875571,0.7361988787261889,1338,1318,625,347
SVD,soft-branchnorm,0.8790820277004417,0.7993332223564465,1399,1493,450,286
SVD,physics-only,0.8239077812615017,0.751253300671512,1178,1561,382,507
SVD,safe-branchnorm,0.882918366318413,0.8115091685744,1388,1553,390,297
