method,DC,SVD,ZS,mean,obj-min,obj-wt,obj-sharpe
safe-latent-only,0.8258595202382556,0.8066338724875571,0.874258634401997,0.8355840090426033,0.8066338724875571,0.8452526653824517,0.8213584371860511
soft-branchnorm,0.913524315471906,0.8790820277004417,0.8648259336320671,0.885810758934805,0.8648259336320671,0.8805645526091205,0.8755895394505416
physics-only,0.8503014570553334,0.8239077812615017,0.6930981974349933,0.7891024785839428,0.6930981974349933,0.7651014082967054,0.7547349235606547
safe-branchnorm,0.9084202102382402,0.882918366318413,0.8624918277493221,0.8846101347686585,0.8624918277493221,0.8790805580138243,0.8752159819784116
"w3(0.6,0.3,0.1)",0.8852132025032933,0.8574299280228348,0.8840040304779179,0.8755490536680153,0.8574299280228348,0.877662797870491,0.8691382222105506
"w3(0.5,0.3,0.2)",0.898749436944781,0.8698225846109675,0.8800262170327602,0.8828660795295029,0.8698225846109675,0.8821561139053173,0.8768766539764153
"w3(0.5,0.4,0.1)",0.8946697439279041,0.864784946647098,0.882826897227339,0.8807605292674471,0.864784946647098,0.88127712125742,0.8746167290789377
"w3(0.7,0.2,0.1)",0.8736047452978117,0.8486652993092452,0.8837209589377575,0.8686636678482715,0.8486652993092452,0.8724279906206429,0.8612978062470591
"w3(0.4,0.4,0.2)",0.9058837915944951,0.8755337199197912,0.8766112551383863,0.8860095888842242,0.8755337199197912,0.8836600054477648,0.8789795554494586
"w3(0.4,0.3,0.3)",0.9088440302215535,0.8791843504263193,0.8710901257816868,0.8863728354765198,0.8710901257816868,0.8825521580528115,0.8782580848837067
"w3(0.5,0.2,0.3)",0.9020130675248325,0.8736806095380053,0.8755966411586842,0.883763439407174,0.8736806095380053,0.8817217398450515,0.8772993786463533
"w3(0.3,0.4,0.3)",0.9133905753456888,0.883033212124174,0.8652431350008496,0.8872223074902376,0.8652431350008496,0.8817275143678905,0.8772832817756664
"w3(0.6,0.2,0.2)",0.889229430876942,0.8625213235979114,0.8819023888687053,0.8778843811145195,0.8625213235979114,0.8788888830530659,0.8722505689306075
"w3(0.3,0.5,0.2)",0.9109578672164871,0.8799775806325988,0.871933168784286,0.887622872211124,0.871933168784286,0.8837004463544144,0.8792108804293326
"w4(0.4,0.3,0.1,0.2)",0.9006143687048105,0.8715755103536852,0.8793498077129589,0.8838465622571515,0.8715755103536852,0.8827223736211033,0.8777095240918091
"w4(0.5,0.2,0.1,0.2)",0.8927571362895474,0.865300836450104,0.8817917111880323,0.8799498946425612,0.865300836450104,0.880410348778929,0.8743076977247118
"w4(0.3,0.3,0.2,0.2)",0.9099133320640405,0.880929640144718,0.8711481389897721,0.8873303703995101,0.8711481389897721,0.8832848125470756,0.879100221966591
"w4(0.4,0.2,0.2,0.2)",0.9041854158249861,0.8762563932613612,0.8756340823071647,0.8853586304645041,0.8756340823071647,0.8829274934251692,0.8787011446654434
"w4(0.3,0.3,0.1,0.3)",0.9059481849885995,0.8768770493180267,0.8755550855982828,0.8861267733016364,0.8755550855982828,0.8834838513757979,0.8791136526461893
"w4(0.4,0.3,0.2,0.1)",0.9052002309493846,0.8759646971323674,0.8761656643273492,0.8857768641363671,0.8759646971323674,0.8833740641841126,0.8789095444176057
"w4(0.5,0.3,0.1,0.1)",0.8937942414349821,0.8651450615539921,0.8823385165323243,0.8804259398404328,0.8651450615539921,0.8809040840134057,0.8745389861974877
